Glycine soja, 114412891, chalcone synthase 5-like  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine soja, 114392946, flavonoid 3'-monooxygenase-like isoform X1  [EC], ['EC:1.14.14.82'], KO:K05280
Glycine soja, 114391094, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Glycine soja, 114384244, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Glycine soja, 114392892, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Glycine soja, 114381448, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Glycine soja, 114424222, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Glycine soja, 114374275, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Glycine soja, 114421336, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Glycine soja, 114422060, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Glycine soja, 114402606, leucoanthocyanidin reductase-like isoform X1  [EC], ['EC:1.17.1.3'], KO:K13081
Glycine soja, 114370702, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Glycine soja, 114422719, flavonoid 4'-O-methyltransferase  [EC], ['EC:2.1.1.231'], KO:K23053
Glycine soja, 114417443, UDP-glycosyltransferase 88F4-like isoform X1  [EC], ['EC:2.4.1.357'], KO:K22845
Glycine soja, 114418036, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114402773, spermidine hydroxycinnamoyl transferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114419201, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114395489, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114395584, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114399545, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114405903, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114423373, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114423374, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114423379, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114423382, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114422510, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114386478, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114369859, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114383273, omega-hydroxypalmitate O-feruloyl transferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114395123, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114387639, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114375353, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114389049, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114369295, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114376619, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114389679, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114390233, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114390368, fatty alcohol:caffeoyl-CoA acyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114375578, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114375583, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114390980, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114369488, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114391921, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114393241, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114394635, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114394743, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114394917, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114395032, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114406591, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Glycine soja, 114399785, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Glycine soja, 114421606, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine soja, 114421811, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine soja, 114413517, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine soja, 114421125, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine soja, 114411406, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine soja, 114419712, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine soja, 114412825, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine soja, 114407365, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine soja, 114423381, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine soja, 114393116, caffeoyl-CoA O-methyltransferase 1-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine soja, 114374935, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine soja, 114386181, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
