Citrus clementina, CICLE_v10001413mg, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Citrus clementina, CICLE_v10011733mg, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus clementina, CICLE_v10013397mg, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus clementina, CICLE_v10033777mg, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus clementina, CICLE_v10011699mg, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus clementina, CICLE_v10011714mg, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus clementina, CICLE_v10000848mg, hypothetical protein  [EC], ['EC:1.14.14.96'], KO:K09754
Citrus clementina, CICLE_v10003647mg, hypothetical protein  [EC], ['EC:1.14.14.96'], KO:K09754
Citrus clementina, CICLE_v10019813mg, hypothetical protein  [EC], ['EC:1.14.14.96'], KO:K09754
Citrus clementina, CICLE_v10011520mg, hypothetical protein  [EC], ['EC:1.14.14.96'], KO:K09754
Citrus clementina, CICLE_v10012561mg, hypothetical protein  [EC], ['EC:2.1.1.104'], KO:K00588
Citrus clementina, CICLE_v10009342mg, hypothetical protein  [EC], ['EC:2.1.1.104'], KO:K00588
Citrus clementina, CICLE_v10026344mg, hypothetical protein  [EC], ['EC:2.1.1.104'], KO:K00588
Citrus clementina, CICLE_v10010286mg, hypothetical protein  [EC], ['EC:2.1.1.104'], KO:K00588
Citrus clementina, CICLE_v10026347mg, hypothetical protein  [EC], ['EC:2.1.1.104'], KO:K00588
Citrus clementina, CICLE_v10029158mg, hypothetical protein  [EC], ['EC:2.1.1.104'], KO:K00588
Citrus clementina, CICLE_v10003764mg, hypothetical protein  [EC], ['EC:2.1.1.104'], KO:K00588
Citrus clementina, CICLE_v10026731mg, hypothetical protein  [EC], ['EC:2.1.1.104'], KO:K00588
Citrus clementina, CICLE_v10009335mg, hypothetical protein  [EC], ['EC:2.1.1.104'], KO:K00588
