Vitis vinifera, 100233012, PAL7; phenylalanine ammonia-lyase G1  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis vinifera, 100241814, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100249514, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100242338, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100261517, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100245432, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100265920, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100242093, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100249548, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100259700, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100255112, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100258717, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100250514, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100257692, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100253646, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100266458, peroxidase 73  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100262265, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100262330, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100257005, Peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100267361, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100264885, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100257059, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100259578, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100242472, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100265025, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100254462, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100250264, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100264023, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100255891, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100855242, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100249955, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100260291, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100261264, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100261539, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100256842, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100261865, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100232945, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100267701, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100266922, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 104881373, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100245996, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100853331, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 109121407, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100265513, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100262247, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100854817, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100263220, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100252708, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100249258, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100261249, POD1; peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100258705, peroxidase 41  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100262192, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100256220, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100262115, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100260202, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100260174, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100254001, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100267732, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100247634, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100260726, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100245373, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100262758, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100257139, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100254910, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100263665, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100854291, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100243422, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100247600, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100267515, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100264421, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100259249, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100264755, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100262575, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100254434, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100258515, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100246878, cationic peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100245326, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100854196, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100257440, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100253452, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100246743, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100254998, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis vinifera, 100265092, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Vitis vinifera, 100247997, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Vitis vinifera, 100254886, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Vitis vinifera, 100266832, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Vitis vinifera, 100232900, BG1; beta-glucosidase  [EC], ['EC:3.2.1.21'], KO:K01188
Vitis vinifera, 100252705, beta-glucosidase 12  [EC], ['EC:3.2.1.21'], KO:K01188
Vitis vinifera, 100259574, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vitis vinifera, 100241205, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Vitis vinifera, 100257904, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K01188
Vitis vinifera, 100246224, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K01188
Vitis vinifera, 100254458, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vitis vinifera, 100260663, putative beta-glucosidase 41  [EC], ['EC:3.2.1.21'], KO:K01188
Vitis vinifera, 100247567, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Vitis vinifera, 100267338, beta-glucosidase 12  [EC], ['EC:3.2.1.21'], KO:K01188
Vitis vinifera, 100260409, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vitis vinifera, 100250160, beta-glucosidase 12  [EC], ['EC:3.2.1.21'], KO:K01188
Vitis vinifera, 100255329, beta-glucosidase 12  [EC], ['EC:3.2.1.21'], KO:K01188
Vitis vinifera, 100249344, beta-glucosidase 12  [EC], ['EC:3.2.1.21'], KO:K01188
Vitis vinifera, 100247643, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K01188
Vitis vinifera, 100244286, beta-glucosidase 13  [EC], ['EC:3.2.1.21'], KO:K01188
Vitis vinifera, 100252190, beta-glucosidase 11  [EC], ['EC:3.2.1.21'], KO:K01188
Vitis vinifera, 100257320, beta-glucosidase 11-like  [EC], ['EC:3.2.1.21'], KO:K01188
Vitis vinifera, 100245197, beta-glucosidase 11  [EC], ['EC:3.2.1.21'], KO:K01188
Vitis vinifera, 100247598, beta-glucosidase 12  [EC], ['EC:3.2.1.21'], KO:K01188
Vitis vinifera, 100264732, beta-glucosidase 13  [EC], ['EC:3.2.1.21'], KO:K01188
Vitis vinifera, 100266625, beta-glucosidase 12  [EC], ['EC:3.2.1.21'], KO:K01188
Vitis vinifera, 100267983, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Vitis vinifera, 100254789, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Vitis vinifera, 100255282, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Vitis vinifera, 100268012, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Vitis vinifera, 100256480, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Vitis vinifera, 100243556, beta-glucosidase 46  [EC], ['EC:3.2.1.21'], KO:K05350
Vitis vinifera, 100267558, beta-glucosidase 18  [EC], ['EC:3.2.1.21'], KO:K05350
Vitis vinifera, 104877310, beta-glucosidase 18  [EC], ['EC:3.2.1.21'], KO:K05350
Vitis vinifera, 100255914, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Vitis vinifera, 100250218, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Vitis vinifera, 100251923, feruloyl CoA ortho-hydroxylase 1  [EC], ['EC:1.14.11.61'], KO:K06892
Vitis vinifera, 100257056, feruloyl CoA ortho-hydroxylase 1  [EC], ['EC:1.14.11.61'], KO:K06892
Vitis vinifera, 100252102, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
