Prunus persica, 18772065, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Prunus persica, 109950432, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 109946874, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 109948912, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 18790787, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 109948145, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 109948832, BAHD acyltransferase At5g47980-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 18789708, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus persica, 18792412, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus persica, 18789709, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus persica, 18789678, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus persica, 18777009, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Prunus persica, 18767467, caffeoylshikimate esterase isoform X2  [EC], ['EC:3.1.1.-'], KO:K18368
Prunus persica, 18785179, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Prunus persica, 18790537, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Prunus persica, 18781787, caffeoylshikimate esterase isoform X2  [EC], ['EC:3.1.1.-'], KO:K18368
Prunus persica, 18793505, flavonoid 3',5'-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus persica, 18767560, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus persica, 18771033, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus persica, 109946237, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus persica, 18786011, flavonoid 3',5'-methyltransferase isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus persica, 109947186, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus persica, 18783603, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Prunus persica, 18784457, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Prunus persica, 18782836, cinnamoyl-CoA reductase 2  [EC], ['EC:1.2.1.44'], KO:K09753
Prunus persica, 18769769, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Prunus persica, 18768550, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Prunus persica, 18771703, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Prunus persica, 18786738, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus persica, 18776084, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus persica, 18787303, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus persica, 18786962, caffeic acid 3-O-methyltransferase isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus persica, 18786300, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus persica, 18790301, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus persica, 18784868, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus persica, 18777851, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Prunus persica, 18767368, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Prunus persica, 18767388, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Prunus persica, 18780288, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Prunus persica, 18784198, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Prunus persica, 18790446, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Prunus persica, 18778395, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Prunus persica, 18779389, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Prunus persica, 18790191, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Prunus persica, 18767441, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18767228, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18768241, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18778890, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18772528, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18772634, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18775501, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18780810, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18773443, peroxidase 73  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18775525, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18773006, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18774869, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18772509, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18772631, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18782145, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18782530, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18782936, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18773098, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18779566, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18771601, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18773781, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18773398, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18773464, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18773757, peroxidase 15 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18780772, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18776157, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18775243, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18774459, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18773331, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18787098, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18785759, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18787352, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18784960, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18774150, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18771351, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18781284, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18774584, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18771981, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18784375, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18782209, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18775415, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18771961, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18775965, peroxidase 41  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18776335, peroxidase 41  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18769960, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18769190, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18769477, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18771476, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18778832, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18786174, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18793843, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18779847, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18774491, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18788700, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18790974, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18793513, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18792573, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18789516, peroxidase 41  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18791044, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18790823, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18791564, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18792576, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18790724, peroxidase 18  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18789526, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18770065, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18793780, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18792772, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18793937, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus persica, 18769331, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Prunus persica, 18770907, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Prunus persica, 18792862, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Prunus persica, 18775538, beta-glucosidase 12  [EC], ['EC:3.2.1.21'], KO:K01188
Prunus persica, 18770798, beta-glucosidase 12 isoform X2  [EC], ['EC:3.2.1.21'], KO:K01188
Prunus persica, 18770404, beta-glucosidase 24  [EC], ['EC:3.2.1.21'], KO:K01188
Prunus persica, 18773605, beta-glucosidase 12  [EC], ['EC:3.2.1.21'], KO:K01188
Prunus persica, 18768044, cyanogenic beta-glucosidase  [EC], ['EC:3.2.1.21'], KO:K01188
Prunus persica, 18773165, beta-glucosidase 11 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Prunus persica, 18774589, beta-glucosidase 13  [EC], ['EC:3.2.1.21'], KO:K01188
Prunus persica, 18778261, putative beta-glucosidase 41  [EC], ['EC:3.2.1.21'], KO:K01188
Prunus persica, 18773790, beta-glucosidase 42 isoform X2  [EC], ['EC:3.2.1.21'], KO:K01188
Prunus persica, 18786784, uncharacterized protein LOC18786784 isoform X2  [EC], ['EC:3.2.1.21'], KO:K05349
Prunus persica, 18786211, uncharacterized protein LOC18786211 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Prunus persica, 18787238, uncharacterized protein LOC18787238 isoform X2  [EC], ['EC:3.2.1.21'], KO:K05349
Prunus persica, 18775509, uncharacterized protein LOC18775509  [EC], ['EC:3.2.1.21'], KO:K05349
Prunus persica, 18773440, lysosomal beta glucosidase  [EC], ['EC:3.2.1.21'], KO:K05349
Prunus persica, 18774793, uncharacterized protein LOC18774793  [EC], ['EC:3.2.1.21'], KO:K05349
Prunus persica, 18771678, uncharacterized protein LOC18771678 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Prunus persica, 18773178, uncharacterized protein LOC18773178 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Prunus persica, 18774307, uncharacterized protein LOC18774307 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Prunus persica, 18777625, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Prunus persica, 18779132, beta-glucosidase 45  [EC], ['EC:3.2.1.21'], KO:K05350
Prunus persica, 18778439, LOW QUALITY PROTEIN: beta-glucosidase 18  [EC], ['EC:3.2.1.21'], KO:K05350
Prunus persica, 18772442, feruloyl CoA ortho-hydroxylase 1  [EC], ['EC:1.14.11.61'], KO:K06892
Prunus persica, 18768265, UDP-glucose flavonoid 3-O-glucosyltransferase 7  [EC], ['EC:2.4.1.128'], KO:K23260
Prunus persica, 18768297, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Prunus persica, 18767506, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Prunus persica, 18767656, UDP-glucose flavonoid 3-O-glucosyltransferase 7  [EC], ['EC:2.4.1.128'], KO:K23260
Prunus persica, 18767247, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Prunus persica, 18768382, UDP-glucose flavonoid 3-O-glucosyltransferase 7  [EC], ['EC:2.4.1.128'], KO:K23260
Prunus persica, 109946305, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
