Brassica napus, 106371449, uncharacterized protein LOC106371449  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica napus, 106397021, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica napus, 106421965, 4-coumarate--CoA ligase 4-like isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica napus, 106411305, 4-coumarate--CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica napus, 106366854, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica napus, 106349075, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica napus, 106349076, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica napus, 106368858, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica napus, 106368860, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica napus, 106423208, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica napus, 111212921, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica napus, 106431820, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica napus, 106426291, 4-coumarate--CoA ligase 3-like  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica napus, 106364455, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica napus, 106451642, 4-coumarate--CoA ligase 1 isoform X2  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica napus, 106397772, 4-coumarate--CoA ligase 4-like  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica napus, 106439658, 4-coumarate--CoA ligase 4-like  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica napus, 106439660, 4-coumarate--CoA ligase 4-like  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica napus, 106424357, 4-coumarate--CoA ligase 4  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica napus, 106424410, 4-coumarate--CoA ligase 4-like  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica napus, 106405347, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica napus, 106430971, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106380692, shikimate O-hydroxycinnamoyltransferase isoform X2  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106436771, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106436791, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106374616, spermidine hydroxycinnamoyl transferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106387188, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106387190, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106395458, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106395585, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106396668, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106405249, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106426290, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106435490, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106435508, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106387189, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106387187, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106446740, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica napus, 106352767, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Brassica napus, 106386334, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Brassica napus, 106391625, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Brassica napus, 106438010, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Brassica napus, 106454525, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Brassica napus, 106395719, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Brassica napus, 106431114, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Brassica napus, 106438336, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica napus, 106420616, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica napus, 106449394, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica napus, 106406418, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica napus, 106415819, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica napus, 106415844, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica napus, 106415865, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica napus, 106395782, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica napus, 106411815, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica napus, 106420299, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica napus, 106433998, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica napus, 111207200, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica napus, 106354469, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica napus, 106421286, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica napus, 106368241, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica napus, 106369160, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica napus, 106389614, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica napus, 106392322, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica napus, 106438088, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica napus, 106446224, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica napus, 106396983, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica napus, 106414706, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica napus, 106392328, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106444299, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106357144, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106359564, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106361053, caffeoyl-CoA O-methyltransferase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106361078, caffeoyl-CoA O-methyltransferase 1 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106361880, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106381124, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X2  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106381125, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106390077, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106390078, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106401934, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106402264, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106414501, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106436705, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106353993, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106381122, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106404607, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 111199791, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 111214450, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106392316, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106441142, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106414755, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica napus, 106429710, cinnamoyl-CoA reductase 2  [EC], ['EC:1.2.1.44'], KO:K09753
Brassica napus, 106396237, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Brassica napus, 106346798, cinnamoyl-CoA reductase 1-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Brassica napus, 106430708, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Brassica napus, 106381558, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Brassica napus, 106354822, cinnamoyl-CoA reductase 2  [EC], ['EC:1.2.1.44'], KO:K09753
Brassica napus, 106367088, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Brassica napus, 106414831, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Brassica napus, 106361782, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Brassica napus, 106361783, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Brassica napus, 106361781, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Brassica napus, 111204574, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Brassica napus, 106410739, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Brassica napus, 106349492, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Brassica napus, 106350027, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Brassica napus, 106369989, cytochrome P450 84A4  [EC], ['EC:1.14.-.-'], KO:K09755
Brassica napus, 106448204, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Brassica napus, 106451620, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Brassica napus, 111207882, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Brassica napus, 106356003, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica napus, 106373206, flavone 3'-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica napus, 106374490, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica napus, 106385406, flavone 3'-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica napus, 106392944, flavone 3'-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica napus, 106418605, flavone 3'-O-methyltransferase 1-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica napus, 106409594, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica napus, 106444684, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica napus, 106437132, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica napus, 106437143, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica napus, 111205367, flavone 3'-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica napus, 106383910, flavone 3'-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica napus, 106432400, flavone 3'-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica napus, 106434499, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica napus, 106434512, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica napus, 106437536, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica napus, 111204707, cinnamyl alcohol dehydrogenase 7  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica napus, 106388897, cinnamyl alcohol dehydrogenase 8 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica napus, 106393959, cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica napus, 106406352, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica napus, 106412280, cinnamyl alcohol dehydrogenase 2  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica napus, 106428381, cinnamyl alcohol dehydrogenase 4  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica napus, 106349511, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica napus, 106357035, cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica napus, 106365960, cinnamyl alcohol dehydrogenase 2-like  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica napus, 106377215, cinnamyl alcohol dehydrogenase 4  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica napus, 106394935, cinnamyl alcohol dehydrogenase 5-like  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica napus, 106400136, cinnamyl alcohol dehydrogenase 5-like  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica napus, 106406358, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica napus, 106410867, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica napus, 106441131, cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica napus, 111208207, cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica napus, 111213950, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica napus, 106439604, probable cinnamyl alcohol dehydrogenase 6 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica napus, 106396240, LOW QUALITY PROTEIN: berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Brassica napus, 106407151, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Brassica napus, 106349201, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Brassica napus, 106367240, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Brassica napus, 106422030, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Brassica napus, 106447215, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Brassica napus, 106447292, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Brassica napus, 106360598, 1-Cys peroxiredoxin PER1-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Brassica napus, 106451802, 1-Cys peroxiredoxin PER1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Brassica napus, 106379684, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106380196, peroxidase 69-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106380232, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106380242, peroxidase 69-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106380254, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106380265, peroxidase 69-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106380276, peroxidase 69  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106444911, peroxidase 34-like precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106347437, peroxidase 34  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106354161, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106364375, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106364444, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106345704, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106352321, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106364610, peroxidase 56  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106357093, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106364743, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106357174, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106360917, peroxidase 34-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106360918, peroxidase 34-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106364824, peroxidase 13-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106347862, peroxidase 71  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106347881, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106365141, peroxidase 18  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106351645, peroxidase 34-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106363975, peroxidase 18-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106364984, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106347962, peroxidase 71  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106349188, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106353745, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106356172, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106356207, putative Peroxidase 48 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106357356, peroxidase 13-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106361099, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106345263, peroxidase 49  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106351888, peroxidase 69-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106351920, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106351921, peroxidase 69-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106356543, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106348078, peroxidase 71  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106364076, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106352007, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106356652, peroxidase 62-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106361612, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106362760, peroxidase 32  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106364174, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106369223, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106369225, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106369783, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106369147, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106370131, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106370132, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106370829, putative Peroxidase 48 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106368671, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106367227, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106367592, peroxidase 6  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106371075, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106371076, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106371139, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106368738, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106369164, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106370045, peroxidase 49-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106370453, peroxidase 58-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106370456, peroxidase 58-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106369846, peroxidase 49  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106378952, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106413495, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106425838, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106432696, peroxidase 50 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106422697, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106449199, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106385873, peroxidase 56  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106450296, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
