Ipomoea triloba, 116016651, chalcone synthase DIV isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Ipomoea triloba, 116025346, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116025347, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116025348, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116025405, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116025406, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116012669, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116014158, spermidine hydroxycinnamoyl transferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116015488, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116028808, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116015787, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116015789, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116015790, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116015791, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116015792, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 115996353, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Ipomoea triloba, 116029460, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Ipomoea triloba, 116018772, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea triloba, 116018984, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea triloba, 116020734, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea triloba, 115997386, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea triloba, 115998829, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea triloba, 115998830, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea triloba, 115999240, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea triloba, 115999241, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea triloba, 115999947, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea triloba, 116000260, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
