Nelumbo nucifera, 104591893, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Nelumbo nucifera, 104589331, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Nelumbo nucifera, 104589332, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Nelumbo nucifera, 104590495, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Nelumbo nucifera, 104590491, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Nelumbo nucifera, 104596228, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Nelumbo nucifera, 104596229, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Nelumbo nucifera, 104593362, anthocyanidin reductase-like  [EC], ['EC:1.3.1.77'], KO:K08695
Nelumbo nucifera, 104604944, anthocyanidin reductase-like  [EC], ['EC:1.3.1.77'], KO:K08695
Nelumbo nucifera, 104585744, anthocyanidin reductase  [EC], ['EC:1.3.1.77'], KO:K08695
Nelumbo nucifera, 104601230, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Nelumbo nucifera, 104603047, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Nelumbo nucifera, 104588566, UDP-glycosyltransferase 88F3-like  [EC], ['EC:2.4.1.357'], KO:K22845
Nelumbo nucifera, 104608194, UDP-glycosyltransferase 88F5-like  [EC], ['EC:2.4.1.357'], KO:K22845
Nelumbo nucifera, 104590056, UDP-glycosyltransferase 88F3-like  [EC], ['EC:2.4.1.357'], KO:K22845
Nelumbo nucifera, 104590055, UDP-glycosyltransferase 88F3-like  [EC], ['EC:2.4.1.357'], KO:K22845
Nelumbo nucifera, 104590057, UDP-glycosyltransferase 88F3-like  [EC], ['EC:2.4.1.357'], KO:K22845
Nelumbo nucifera, 104589090, UDP-glycosyltransferase 88F5-like  [EC], ['EC:2.4.1.357'], KO:K22845
Nelumbo nucifera, 104588431, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104588441, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104587191, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104593712, agmatine coumaroyltransferase-1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104593598, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104593596, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104593597, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104595887, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104603237, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104603248, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104610952, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104609155, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104609153, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104590687, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104588272, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Nelumbo nucifera, 104601739, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Nelumbo nucifera, 104606654, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Nelumbo nucifera, 104593275, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Nelumbo nucifera, 104611136, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Nelumbo nucifera, 104611137, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
