Macadamia integrifolia, 122075718, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122071590, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Macadamia integrifolia, 122062392, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Macadamia integrifolia, 122091471, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Macadamia integrifolia, 122080354, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Macadamia integrifolia, 122084111, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Macadamia integrifolia, 122078877, UDP-glycosyltransferase 88F4-like  [EC], ['EC:2.4.1.357'], KO:K22845
Macadamia integrifolia, 122068851, UDP-glycosyltransferase 88F3-like  [EC], ['EC:2.4.1.357'], KO:K22845
Macadamia integrifolia, 122070114, UDP-glycosyltransferase 88F3-like  [EC], ['EC:2.4.1.357'], KO:K22845
Macadamia integrifolia, 122083533, UDP-glycosyltransferase 88F3-like  [EC], ['EC:2.4.1.357'], KO:K22845
Macadamia integrifolia, 122086353, UDP-glycosyltransferase 88F4-like  [EC], ['EC:2.4.1.357'], KO:K22845
Macadamia integrifolia, 122075440, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122061270, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122076522, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122063431, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122090662, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122063910, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122080841, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122094758, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122068946, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122083628, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122084369, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122085256, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122057505, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122088749, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Macadamia integrifolia, 122063491, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Macadamia integrifolia, 122063496, uncharacterized protein LOC122063496  [EC], ['EC:1.14.14.96'], KO:K09754
Macadamia integrifolia, 122068462, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Macadamia integrifolia, 122069164, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Macadamia integrifolia, 122075864, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Macadamia integrifolia, 122088438, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Macadamia integrifolia, 122088785, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Macadamia integrifolia, 122089840, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Macadamia integrifolia, 122062536, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Macadamia integrifolia, 122064376, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Macadamia integrifolia, 122074662, caffeoyl-CoA O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
