Populus alba, 118052332, phenylalanine ammonia-lyase G4  [EC], ['EC:4.3.1.24'], KO:K10775
Populus alba, 118030233, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118043146, fatty alcohol:caffeoyl-CoA acyltransferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118053131, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118053604, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118054672, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118033504, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118034014, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118034341, LOW QUALITY PROTEIN: spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118034374, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118034380, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118046175, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118046176, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118047552, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118047645, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118047646, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118047648, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118058446, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118048835, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118048836, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118048923, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118060260, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118060261, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118060262, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118060268, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus alba, 118052995, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Populus alba, 118033187, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Populus alba, 118033188, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Populus alba, 118041464, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Populus alba, 118052227, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Populus alba, 118045458, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Populus alba, 118034894, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Populus alba, 118046799, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Populus alba, 118037919, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Populus alba, 118059892, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Populus alba, 118029735, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Populus alba, 118054196, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Populus alba, 118054411, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Populus alba, 118055414, caffeoyl-CoA O-methyltransferase 2  [EC], ['EC:2.1.1.104'], KO:K00588
Populus alba, 118046454, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Populus alba, 118059202, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Populus alba, 118053528, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Populus alba, 118053529, cinnamoyl-CoA reductase 2-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Populus alba, 118053532, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Populus alba, 118054652, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Populus alba, 118034044, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Populus alba, 118034046, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Populus alba, 118034052, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Populus alba, 118034053, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Populus alba, 118034054, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Populus alba, 118034058, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Populus alba, 118034059, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Populus alba, 118034060, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Populus alba, 118054143, LOW QUALITY PROTEIN: aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Populus alba, 118050665, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Populus alba, 118063108, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Populus alba, 118058964, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Populus alba, 118029814, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Populus alba, 118042464, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus alba, 118063366, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus alba, 118063469, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus alba, 118063471, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus alba, 118043955, caffeic acid 3-O-methyltransferase 3  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus alba, 118043959, caffeic acid 3-O-methyltransferase 3-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus alba, 118037805, caffeic acid 3-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus alba, 118040848, caffeic acid 3-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus alba, 118041177, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus alba, 118041178, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus alba, 118052663, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Populus alba, 118052943, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Populus alba, 118055351, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Populus alba, 118059168, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Populus alba, 118040756, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Populus alba, 118040758, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Populus alba, 118044378, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118045311, berberine bridge enzyme-like 26  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118045312, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118045313, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118045314, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118035882, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118035884, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118035886, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118035887, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118035890, LOW QUALITY PROTEIN: berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118035891, O-acetylstemmadenine oxidase-like  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118057267, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118048576, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118061010, berberine bridge enzyme-like 26  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118029499, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118029500, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118029502, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118029503, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118029504, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118029505, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118029506, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118029507, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118040810, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118040816, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118040820, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118040821, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118040832, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118040850, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Populus alba, 118062412, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Populus alba, 118030009, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118030460, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118030469, lignin-forming anionic peroxidase-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118030470, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118030494, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118041807, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118052130, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118063083, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118042428, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118052503, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118052660, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118052778, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118052948, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118031295, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118031963, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118031983, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118031988, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118031996, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118043108, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118032103, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118032104, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118032108, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118032110, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118032142, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118032552, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118043432, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118054004, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118054020, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118054021, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118054022, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118033061, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118043951, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118043952, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118044307, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118054355, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118054989, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118044567, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118044686, peroxidase 6  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118044941, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118034584, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118045161, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118045167, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118045800, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118045860, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118035629, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118035630, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118035631, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118046967, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118046968, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118047208, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118036838, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118036913, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118047918, peroxidase 73  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118058072, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118058543, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118048143, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118058683, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118059085, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118037802, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118038138, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118048567, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118048994, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118059342, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118059344, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118049623, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118049694, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118049746, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118049747, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118049785, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118060062, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118060063, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118060064, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118028270, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118039296, peroxidase 20 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118039340, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118039838, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118050165, peroxidase 18-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118040016, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118040566, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118050708, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118050769, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118061805, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118061806, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118029891, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118051154, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118051375, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118051592, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118062444, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118062660, peroxidase 19-like  [EC], ['EC:1.11.1.7'], KO:K00430
Populus alba, 118063254, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Populus alba, 118063255, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Populus alba, 118063256, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
