Nicotiana sylvestris, 104218372, chalcone synthase G-like  [EC], ['EC:2.3.1.74'], KO:K00660
Nicotiana sylvestris, 104235054, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104219383, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104219386, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104225026, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104229643, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104210482, deacetylvindoline O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104231036, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104211740, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104212932, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104217433, deacetylvindoline O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104232003, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104232368, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104221515, cytochrome P450 98A2-like isoform X1  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana sylvestris, 104235549, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana sylvestris, 104216569, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana sylvestris, 104228627, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana sylvestris, 104226583, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana sylvestris, 104234352, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana sylvestris, 104229202, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana sylvestris, 104229437, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana sylvestris, 104216099, caffeoyl-CoA O-methyltransferase 3-like  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana sylvestris, 104212732, caffeoyl-CoA O-methyltransferase 6  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana sylvestris, 104232565, caffeoyl-CoA O-methyltransferase 4 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana sylvestris, 104232566, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana sylvestris, 104241444, caffeoyl-CoA O-methyltransferase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
