Gossypium hirsutum, 107934821, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium hirsutum, 107936045, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Gossypium hirsutum, 107957678, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Gossypium hirsutum, 107898653, non-functional NADPH-dependent codeinone reductase 2 isoform X1 , [], KO:K08243
Gossypium hirsutum, 107933372, non-functional NADPH-dependent codeinone reductase 2-like , [], KO:K08243
Gossypium hirsutum, 107919519, cytochrome P450 93B16  [EC], ['EC:1.14.19.76'], KO:K23179
Gossypium hirsutum, 107895096, cytochrome P450 93B16-like  [EC], ['EC:1.14.19.76'], KO:K23179
Gossypium hirsutum, 107946535, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Gossypium hirsutum, 107951234, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Gossypium hirsutum, 107935085, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Gossypium hirsutum, 107905441, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Gossypium hirsutum, 107957957, dihydroflavonol-4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Gossypium hirsutum, 107938889, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Gossypium hirsutum, 107954320, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Gossypium hirsutum, 107953189, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Gossypium hirsutum, 107926986, anthocyanin synthase  [EC], ['EC:1.14.20.4'], KO:K05277
Gossypium hirsutum, 107930062, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Gossypium hirsutum, 107936429, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Gossypium hirsutum, 107938221, anthocyanidin reductase-like  [EC], ['EC:1.3.1.77'], KO:K08695
Gossypium hirsutum, 107905961, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Gossypium hirsutum, 107934794, leucoanthocyanidin reductase  [EC], ['EC:1.17.1.3'], KO:K13081
Gossypium hirsutum, 107946451, leucoanthocyanidin reductase  [EC], ['EC:1.17.1.3'], KO:K13081
Gossypium hirsutum, 107931042, leucoanthocyanidin reductase  [EC], ['EC:1.17.1.3'], KO:K13081
Gossypium hirsutum, 121224433, leucoanthocyanidin reductase-like isoform X1  [EC], ['EC:1.17.1.3'], KO:K13081
Gossypium hirsutum, 107955595, LOW QUALITY PROTEIN: UDP-glycosyltransferase 88F3-like  [EC], ['EC:2.4.1.357'], KO:K22845
Gossypium hirsutum, 107930943, UDP-glycosyltransferase 88F5-like  [EC], ['EC:2.4.1.357'], KO:K22845
Gossypium hirsutum, 107955596, UDP-glycosyltransferase 88F5  [EC], ['EC:2.4.1.357'], KO:K22845
Gossypium hirsutum, 107955597, UDP-glycosyltransferase 88F5-like  [EC], ['EC:2.4.1.357'], KO:K22845
Gossypium hirsutum, 107886502, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107887676, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107903267, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107898027, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107906898, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107896899, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107898160, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107902811, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107906402, shikimate O-hydroxycinnamoyltransferase precursor  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107909754, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107907890, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107946259, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107928671, stemmadenine O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107947870, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107915629, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107914559, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107933348, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107943497, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107949300, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107914646, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107956839, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107941677, stemmadenine O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107938263, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107961082, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107961085, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107961088, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107960291, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107960292, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107960294, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107960305, shikimate O-hydroxycinnamoyltransferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 121217577, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 121229330, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 121230833, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 121230841, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 121202882, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium hirsutum, 107935532, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Gossypium hirsutum, 107950342, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Gossypium hirsutum, 107920919, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Gossypium hirsutum, 121229624, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Gossypium hirsutum, 107894281, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107894282, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107901135, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107932849, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X4  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107938099, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107940192, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107943854, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107945134, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107953385, caffeoyl-CoA O-methyltransferase-like isoform X2  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107962681, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107898325, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107898327, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107933317, flavonoid 3',5'-methyltransferase isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Gossypium hirsutum, 107933364, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
