Brassica rapa, 103829920, phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica rapa, 103844156, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103859221, peroxidase 50  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103847964, peroxidase 32  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103854666, peroxidase 49  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103863748, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103859651, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103863825, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103852874, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103835007, peroxidase 30  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103868215, peroxidase 49 isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103842763, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103875079, peroxidase 34  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103832692, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103869933, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103855629, peroxidase 41  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103847421, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103846031, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103847012, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103844153, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103847010, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103844155, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103846434, peroxidase 56  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103845715, peroxidase 58  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103845713, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103851641, peroxidase 67  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103855328, LOW QUALITY PROTEIN: peroxidase 73  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103850146, peroxidase 62  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103851308, peroxidase 58-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103846887, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103851441, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103852125, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103850917, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103850973, peroxidase 56  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103852534, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103854363, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103249149, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103837614, peroxidase 73  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103838802, peroxidase C2  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103873829, peroxidase 69  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103873830, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103873831, peroxidase 71  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103828256, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103832931, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103837680, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103843616, LOW QUALITY PROTEIN: peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103843617, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103843619, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103836536, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103828427, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103829619, LOW QUALITY PROTEIN: peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103854203, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103830836, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103837896, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103840283, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103830948, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103874275, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103851309, peroxidase N-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103832162, peroxidase 13  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103834484, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103851131, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103833422, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103828794, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103837014, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103842960, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103840709, peroxidase 6  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103872253, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103827678, peroxidase 65  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103846507, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103833883, peroxidase 39  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103853058, peroxidase 13  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103841020, peroxidase 36  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103842227, peroxidase 18  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103853765, peroxidase 65  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103850580, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103855227, peroxidase 69-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103855228, peroxidase 71  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103831297, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103839561, peroxidase 65  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103873086, peroxidase 34  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103873087, peroxidase 34-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103843977, putative Peroxidase 48 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103862015, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103862471, peroxidase 49  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103865578, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103861601, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103861603, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103865888, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103866074, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103859007, peroxidase 28  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103856695, peroxidase 68  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103856267, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103249155, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103863954, peroxidase 63  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103869716, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103867369, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103857839, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103855623, peroxidase 52  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103860932, peroxidase 41  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103861933, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103862236, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103857778, peroxidase 22  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103857780, peroxidase 22  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103865666, peroxidase C3  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103865667, peroxidase C3  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103864346, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103867487, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103857984, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103836535, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103872738, UDP-glycosyltransferase 72E1  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica rapa, 103829577, UDP-glycosyltransferase 72E3  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica rapa, 103839971, UDP-glycosyltransferase 72D1  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica rapa, 103865989, UDP-glycosyltransferase 72C1  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica rapa, 103874067, UDP-glycosyltransferase 72D1  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica rapa, 103837705, UDP-glycosyltransferase 72E2-like  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica rapa, 103835086, UDP-glycosyltransferase 84A2  [EC], ['EC:2.4.1.120'], KO:K13068
Brassica rapa, 103869163, UDP-glycosyltransferase 84A2  [EC], ['EC:2.4.1.120'], KO:K13068
Brassica rapa, 103850371, serine carboxypeptidase-like 19  [EC], ['EC:3.4.16.-', 'EC:2.3.1.91'], KO:K09756
Brassica rapa, 103850370, serine carboxypeptidase-like 19  [EC], ['EC:3.4.16.-', 'EC:2.3.1.91'], KO:K09756
Brassica rapa, 103847221, LOW QUALITY PROTEIN: serine carboxypeptidase-like 19  [EC], ['EC:3.4.16.-', 'EC:2.3.1.91'], KO:K09756
Brassica rapa, 103847220, serine carboxypeptidase-like 19  [EC], ['EC:3.4.16.-', 'EC:2.3.1.91'], KO:K09756
Brassica rapa, 103828204, probable inactive beta-glucosidase 25  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103830245, beta-glucosidase 16 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103835230, beta-glucosidase 19  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103835599, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103838621, beta-glucosidase 15  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103840622, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103841863, beta-glucosidase 27  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103841864, beta-glucosidase 16 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103841865, beta-glucosidase 16 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103841866, beta-glucosidase 30 isoform X2  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103842078, beta-glucosidase 10 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103842079, beta-glucosidase 10  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103844910, putative beta-glucosidase 41  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103848211, beta-glucosidase 23  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103849163, beta-glucosidase 42 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103852995, beta-glucosidase 20  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103859306, beta-glucosidase 23  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103862779, beta-glucosidase 10  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103862905, beta-glucosidase 30  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103862906, LOW QUALITY PROTEIN: beta-glucosidase 16  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103862908, beta-glucosidase 27-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103864958, beta-glucosidase 15 isoform X2  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103866139, beta-glucosidase 15  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103866140, beta-glucosidase 32  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103866141, beta-glucosidase 27  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103866797, beta-glucosidase 27  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103866798, beta-glucosidase 15 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103866799, beta-glucosidase 15  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103866801, beta-glucosidase 28  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103866802, beta-glucosidase 29 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103866803, beta-glucosidase 31  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103866804, beta-glucosidase 26, peroxisomal  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103870188, beta-glucosidase 9  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103872284, LOW QUALITY PROTEIN: beta-glucosidase 19-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103868313, beta-glucosidase 42-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103834236, beta-glucosidase 3 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica rapa, 103847250, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica rapa, 103845624, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica rapa, 103831409, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica rapa, 103873269, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica rapa, 103873275, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica rapa, 103851390, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica rapa, 103856474, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica rapa, 103855592, lysosomal beta glucosidase  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica rapa, 103831615, beta-glucosidase 45  [EC], ['EC:3.2.1.21'], KO:K05350
Brassica rapa, 103831159, beta-glucosidase 46-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Brassica rapa, 103838824, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Brassica rapa, 103838831, beta-glucosidase 43  [EC], ['EC:3.2.1.21'], KO:K05350
Brassica rapa, 103859429, beta-glucosidase 47  [EC], ['EC:3.2.1.21'], KO:K05350
Brassica rapa, 103861251, beta-glucosidase 47  [EC], ['EC:3.2.1.21'], KO:K05350
Brassica rapa, 103861250, beta-glucosidase 47  [EC], ['EC:3.2.1.21'], KO:K05350
Brassica rapa, 103830693, cytochrome P450 98A8-like  [EC], ['EC:1.14.13.-'], KO:K15506
Brassica rapa, 103870109, feruloyl CoA ortho-hydroxylase 1  [EC], ['EC:1.14.11.61'], KO:K06892
Brassica rapa, 103842722, feruloyl CoA ortho-hydroxylase 1  [EC], ['EC:1.14.11.61'], KO:K06892
Brassica rapa, 103859525, feruloyl CoA ortho-hydroxylase 1  [EC], ['EC:1.14.11.61'], KO:K06892
Brassica rapa, 103842148, UDP-glycosyltransferase 73B3  [EC], ['EC:2.4.1.128'], KO:K23260
Brassica rapa, 103841605, UDP-glycosyltransferase 73B1  [EC], ['EC:2.4.1.128'], KO:K23260
Brassica rapa, 103853940, UDP-glycosyltransferase 73B3-like  [EC], ['EC:2.4.1.128'], KO:K23260
Brassica rapa, 103860421, UDP-glycosyltransferase 73B5  [EC], ['EC:2.4.1.128'], KO:K23260
Brassica rapa, 108869154, UDP-glycosyltransferase 73B3-like isoform X1  [EC], ['EC:2.4.1.128'], KO:K23260
