Dendrobium catenatum, 110115785, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Dendrobium catenatum, 110113109, hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Dendrobium catenatum, 110113968, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Dendrobium catenatum, 110092996, tryptamine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Dendrobium catenatum, 110101632, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Dendrobium catenatum, 110097174, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Dendrobium catenatum, 110100008, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Dendrobium catenatum, 110095163, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Dendrobium catenatum, 110102215, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Dendrobium catenatum, 110111876, caffeoylshikimate esterase isoform X2  [EC], ['EC:3.1.1.-'], KO:K18368
Dendrobium catenatum, 110113335, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Dendrobium catenatum, 110114871, norbelladine 4'-O-methyltransferase isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Dendrobium catenatum, 110092466, norbelladine 4'-O-methyltransferase isoform X2  [EC], ['EC:2.1.1.104'], KO:K00588
Dendrobium catenatum, 110092467, norbelladine 4'-O-methyltransferase isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Dendrobium catenatum, 110092517, norbelladine 4'-O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Dendrobium catenatum, 110105160, norbelladine 4'-O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Dendrobium catenatum, 110092470, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Dendrobium catenatum, 110093087, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Dendrobium catenatum, 110102649, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Dendrobium catenatum, 110102637, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Dendrobium catenatum, 110102654, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Dendrobium catenatum, 110109700, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Dendrobium catenatum, 110096705, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Dendrobium catenatum, 114578361, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Dendrobium catenatum, 110097166, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Dendrobium catenatum, 110100929, tricetin 3',4',5'-O-trimethyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Dendrobium catenatum, 110108293, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Dendrobium catenatum, 110098174, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Dendrobium catenatum, 110101682, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Dendrobium catenatum, 110108304, flavone O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Dendrobium catenatum, 110101663, tricetin 3',4',5'-O-trimethyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Dendrobium catenatum, 110100949, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Dendrobium catenatum, 110116647, cinnamyl alcohol dehydrogenase 2  [EC], ['EC:1.1.1.195'], KO:K00083
Dendrobium catenatum, 110098859, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Dendrobium catenatum, 110103062, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Dendrobium catenatum, 110103063, putative cinnamyl alcohol dehydrogenase 4  [EC], ['EC:1.1.1.195'], KO:K00083
Dendrobium catenatum, 110091782, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110113061, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110113062, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110102940, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110107902, cationic peroxidase 1-like isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110095178, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110100265, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110107330, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110109321, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110095520, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110091820, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110101959, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110102942, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110102945, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110107002, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110113505, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110096932, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110096933, peroxidase P7 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110103015, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110113195, peroxidase 47 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110099301, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110098653, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110100325, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110109322, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110110756, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110095024, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110110760, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110105118, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110106136, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110106139, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110106141, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110114611, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110107460, cationic peroxidase SPC4  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110109763, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110110786, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110100128, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110093715, peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110111165, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110096773, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110100860, peroxidase 59-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110096141, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110108503, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110113320, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110113340, peroxidase P7 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110097445, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110112233, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Dendrobium catenatum, 110109642, LOW QUALITY PROTEIN: uncharacterized protein LOC110109642  [EC], ['EC:3.2.1.21'], KO:K05349
Dendrobium catenatum, 110116159, uncharacterized protein LOC110116159  [EC], ['EC:3.2.1.21'], KO:K05349
Dendrobium catenatum, 110100144, uncharacterized protein LOC110100144  [EC], ['EC:3.2.1.21'], KO:K05349
Dendrobium catenatum, 110095760, uncharacterized protein LOC110095760 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Dendrobium catenatum, 110095762, uncharacterized protein LOC110095762  [EC], ['EC:3.2.1.21'], KO:K05349
Dendrobium catenatum, 110107248, uncharacterized protein LOC110107248  [EC], ['EC:3.2.1.21'], KO:K05349
Dendrobium catenatum, 110107269, uncharacterized protein LOC110107269  [EC], ['EC:3.2.1.21'], KO:K05349
Dendrobium catenatum, 114578346, uncharacterized protein LOC114578346  [EC], ['EC:3.2.1.21'], KO:K05349
Dendrobium catenatum, 110092217, beta-glucosidase 1-like  [EC], ['EC:3.2.1.21'], KO:K05350
Dendrobium catenatum, 110095267, beta-glucosidase 18 isoform X2  [EC], ['EC:3.2.1.21'], KO:K05350
Dendrobium catenatum, 110095269, beta-glucosidase 18  [EC], ['EC:3.2.1.21'], KO:K05350
Dendrobium catenatum, 110095272, beta-glucosidase 18 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Dendrobium catenatum, 110095291, beta-glucosidase 18 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Dendrobium catenatum, 110095970, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Dendrobium catenatum, 110095971, UDP-glycosyltransferase 73B4-like  [EC], ['EC:2.4.1.128'], KO:K23260
Dendrobium catenatum, 110095972, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Dendrobium catenatum, 110095978, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Dendrobium catenatum, 110095982, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Dendrobium catenatum, 110095989, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Dendrobium catenatum, 110095990, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Dendrobium catenatum, 110095991, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Dendrobium catenatum, 110095992, UDP-glycosyltransferase 73B4-like  [EC], ['EC:2.4.1.128'], KO:K23260
Dendrobium catenatum, 110093536, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Dendrobium catenatum, 110097305, scopoletin glucosyltransferase-like isoform X1  [EC], ['EC:2.4.1.128'], KO:K23260
Dendrobium catenatum, 110111245, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Dendrobium catenatum, 110095980, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Dendrobium catenatum, 110110044, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Dendrobium catenatum, 110114957, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Dendrobium catenatum, 110114974, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Dendrobium catenatum, 110095969, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Dendrobium catenatum, 110095977, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Dendrobium catenatum, 110095988, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Dendrobium catenatum, 110095994, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
