Mangifera indica, 123225153, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Mangifera indica, 123212452, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Mangifera indica, 123206133, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Mangifera indica, 123218117, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Mangifera indica, 123195221, LOW QUALITY PROTEIN: spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Mangifera indica, 123195655, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Mangifera indica, 123208284, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Mangifera indica, 123220489, fatty alcohol:caffeoyl-CoA acyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Mangifera indica, 123220885, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Mangifera indica, 123210797, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Mangifera indica, 123221796, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Mangifera indica, 123211239, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Mangifera indica, 123211777, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Mangifera indica, 123212333, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Mangifera indica, 123211020, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Mangifera indica, 123211225, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Mangifera indica, 123224750, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Mangifera indica, 123214023, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Mangifera indica, 123225800, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Mangifera indica, 123215955, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Mangifera indica, 123228159, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Mangifera indica, 123193341, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Mangifera indica, 123193343, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Mangifera indica, 123198289, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Mangifera indica, 123222971, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Mangifera indica, 123212228, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Mangifera indica, 123200959, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Mangifera indica, 123227387, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Mangifera indica, 123206883, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Mangifera indica, 123206885, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Mangifera indica, 123200018, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Mangifera indica, 123212834, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Mangifera indica, 123206446, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Mangifera indica, 123206471, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Mangifera indica, 123218467, cinnamoyl-CoA reductase 1-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Mangifera indica, 123218562, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Mangifera indica, 123209988, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Mangifera indica, 123210607, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Mangifera indica, 123210934, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Mangifera indica, 123194676, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Mangifera indica, 123200334, aldehyde dehydrogenase family 2 member C4-like isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Mangifera indica, 123214900, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Mangifera indica, 123227833, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Mangifera indica, 123199277, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Mangifera indica, 123201620, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Mangifera indica, 123203759, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Mangifera indica, 123215322, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Mangifera indica, 123215323, caffeic acid 3-O-methyltransferase 1-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Mangifera indica, 123228814, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Mangifera indica, 123193589, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Mangifera indica, 123193590, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Mangifera indica, 123228972, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Mangifera indica, 123228974, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Mangifera indica, 123229057, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Mangifera indica, 123229059, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Mangifera indica, 123206967, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Mangifera indica, 123230013, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Mangifera indica, 123230022, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Mangifera indica, 123207172, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Mangifera indica, 123207173, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Mangifera indica, 123207175, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Mangifera indica, 123209138, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Mangifera indica, 123210223, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Mangifera indica, 123203552, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Mangifera indica, 123228002, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Mangifera indica, 123229168, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Mangifera indica, 123206627, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Mangifera indica, 123207077, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Mangifera indica, 123207668, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Mangifera indica, 123209048, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Mangifera indica, 123196990, LOW QUALITY PROTEIN: probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Mangifera indica, 123198687, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Mangifera indica, 123212584, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Mangifera indica, 123212740, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Mangifera indica, 123225195, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Mangifera indica, 123225246, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Mangifera indica, 123205911, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Mangifera indica, 123206481, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Mangifera indica, 123219148, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Mangifera indica, 123197599, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Mangifera indica, 123198345, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Mangifera indica, 123221339, LOW QUALITY PROTEIN: 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Mangifera indica, 123201256, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123213459, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123213460, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123225298, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123213782, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123214042, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123214245, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123214353, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123202443, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123202454, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123202461, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123202551, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123214866, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123226583, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123203066, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123203600, peroxidase 13-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123227058, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123227347, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123192273, LOW QUALITY PROTEIN: peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123192310, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123204277, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123216420, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123192578, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123205164, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123205166, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123216573, LOW QUALITY PROTEIN: peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123216867, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123228403, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123193658, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123193664, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123206024, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123206033, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123217588, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123217656, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123229388, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123229397, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123229404, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123194020, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123194192, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123194338, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123206675, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123218004, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123218050, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123218182, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123229598, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123230089, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123207067, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123207412, LOW QUALITY PROTEIN: peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123218973, LOW QUALITY PROTEIN: putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123195865, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123195912, peroxidase 39-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123208509, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123208596, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123208597, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123219578, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123219625, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123219743, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123220169, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123196052, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123209320, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123209501, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123209512, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123209542, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123220857, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123197035, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123209747, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123209791, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123209792, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123209793, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123210304, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123221202, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123198011, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123210958, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123198397, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123198670, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123198727, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123198833, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123199034, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123222918, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123199152, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123199508, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123212289, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123223873, peroxidase 20 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123200207, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123200306, peroxidase 46-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123224408, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Mangifera indica, 123226413, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Mangifera indica, 123217498, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Mangifera indica, 123198814, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Mangifera indica, 123198869, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Mangifera indica, 123198908, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Mangifera indica, 123199053, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
