Panicum virgatum, 120685353, chalcone synthase C2  [EC], ['EC:2.3.1.74'], KO:K00660
Panicum virgatum, 120675175, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Panicum virgatum, 120675466, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Panicum virgatum, 120675567, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Panicum virgatum, 120676510, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Panicum virgatum, 120681344, uncharacterized protein LOC120681344  [EC], ['EC:1.3.1.77'], KO:K08695
Panicum virgatum, 120681438, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Panicum virgatum, 120682923, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Panicum virgatum, 120682924, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Panicum virgatum, 120702845, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120657469, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120644831, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120660696, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120706271, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120662511, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120663758, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120679454, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120695161, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120695676, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120695678, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120709645, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120696885, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120711518, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120668417, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120712486, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum virgatum, 120673263, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Panicum virgatum, 120665065, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Panicum virgatum, 120698273, cytochrome P450 98A1  [EC], ['EC:1.14.14.96'], KO:K09754
Panicum virgatum, 120702721, caffeoyl-CoA O-methyltransferase 1 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Panicum virgatum, 120658894, caffeoyl-CoA O-methyltransferase 3-like  [EC], ['EC:2.1.1.104'], KO:K00588
Panicum virgatum, 120682561, caffeoyl-CoA O-methyltransferase 3-like  [EC], ['EC:2.1.1.104'], KO:K00588
Panicum virgatum, 120669636, caffeoyl-CoA O-methyltransferase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
