Quercus lobata, 115976336, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Quercus lobata, 115974366, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Quercus lobata, 115981331, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Quercus lobata, 115972360, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Quercus lobata, 115972793, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Quercus lobata, 115992511, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Quercus lobata, 115963778, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Quercus lobata, 115965626, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Quercus lobata, 115991055, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Quercus lobata, 115977881, LOW QUALITY PROTEIN: UDP-glycosyltransferase 88F3-like  [EC], ['EC:2.4.1.357'], KO:K22845
Quercus lobata, 115975110, UDP-glycosyltransferase 88F3-like  [EC], ['EC:2.4.1.357'], KO:K22845
Quercus lobata, 115961871, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115961872, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115978811, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115964240, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115964895, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115980690, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115981097, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115981099, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115982090, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115950297, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115968664, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115951637, (13S,14R)-1,13-dihydroxy-N-methylcanadine 13-O-acetyltransferase AT1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115969064, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115969075, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115988388, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115988655, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115973541, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115989730, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115990643, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115990646, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115990700, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115990711, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115990712, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115990716, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115990718, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115991958, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115953877, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115953924, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115962977, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115953326, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Quercus lobata, 115976158, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Quercus lobata, 115976159, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Quercus lobata, 115976161, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Quercus lobata, 115976162, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Quercus lobata, 115976164, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Quercus lobata, 115976166, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Quercus lobata, 115976167, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Quercus lobata, 115995011, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Quercus lobata, 115968823, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
