Solanum tuberosum, 102595874, chalcone synthase J-like  [EC], ['EC:2.3.1.74'], KO:K00660
Solanum tuberosum, 102598379, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102581131, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 107062704, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102578320, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 107058429, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102596330, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102578406, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum tuberosum, 102590105, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum tuberosum, 102590870, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum tuberosum, 102590830, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum tuberosum, 102590484, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum tuberosum, 102586130, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum tuberosum, 102606401, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum tuberosum, 102578747, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum tuberosum, 102586472, caffeoyl-CoA O-methyltransferase 6  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum tuberosum, 102586332, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum tuberosum, 102595685, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum tuberosum, 102578946, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum tuberosum, 102599242, AOMT3; flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum tuberosum, 102586657, CCoAMT; caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum tuberosum, 102585995, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum tuberosum, 102579925, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum tuberosum, 102592869, caffeoyl-CoA O-methyltransferase 6-like  [EC], ['EC:2.1.1.104'], KO:K00588
