Medicago truncatula, MTR_3g088675, chalcone and stilbene synthase family protein  [EC], ['EC:2.3.1.74'], KO:K00660
Medicago truncatula, MTR_1g022440, dihydroflavonol 4-reductase-like protein  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Medicago truncatula, MTR_1g022445, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Medicago truncatula, MTR_3g436390, flavonoid hydroxylase  [EC], ['EC:1.14.14.81'], KO:K13083
Medicago truncatula, MTR_3g436540, flavonoid hydroxylase  [EC], ['EC:1.14.14.81'], KO:K13083
Medicago truncatula, MTR_5g011250, leucoanthocyanidin dioxygenase-like protein  [EC], ['EC:1.14.20.4'], KO:K05277
Medicago truncatula, MTR_4g092080, anthocyanidin reductase ANR1-1  [EC], ['EC:1.3.1.77'], KO:K08695
Medicago truncatula, MTR_1g093720, leucoanthocyanidin reductase LAR1-2  [EC], ['EC:1.17.1.3'], KO:K13081
Medicago truncatula, MTR_3g009510, UDP-glucosyltransferase family protein  [EC], ['EC:2.4.1.357'], KO:K22845
Medicago truncatula, MTR_2g045550, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_1g094790, HXXXD-type acyl-transferase family protein  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_2g105330, shikimate/quinate hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_2g064495, shikimate/quinate hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_3g049140, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_3g049150, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_3g026950, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_3g086020, anthranilate N-benzoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_4g007460, shikimate/quinate hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_4g007470, shikimate/quinate hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_4g007540, shikimate/quinate hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_4g013050, shikimate/quinate hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_4g097090, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_4g127650, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_7g084910, HXXXD-type acyl-transferase family protein  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_7g084940, HXXXD-type acyl-transferase family protein  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_7g085930, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_7g085960, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_7g085990, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_7g086000, transferase family protein  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_8g075610, shikimate/quinate hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_8g075740, shikimate/quinate hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Medicago truncatula, MTR_6g091680, caffeoyl-CoA 3-O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Medicago truncatula, MTR_8g101900, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Medicago truncatula, MTR_4g094368, caffeoyl-CoA-O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Medicago truncatula, MTR_4g094812, caffeoyl-CoA 3-O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Medicago truncatula, MTR_4g094898, caffeoyl-CoA 3-O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Medicago truncatula, MTR_4g094925, caffeoyl-CoA 3-O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Medicago truncatula, MTR_8g021225, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Medicago truncatula, MTR_4g085590, caffeoyl-CoA 3-O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Medicago truncatula, MTR_4g094815, caffeoyl-CoA 3-O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
