Triticum aestivum, 123186969, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123104466, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123104469, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123104502, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123159113, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123123470, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123123471, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123159780, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123071871, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123055015, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123073525, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123163641, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123184282, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 543104, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 100037528, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123111354, chalcone isomerase-like protein 2  [EC], ['EC:5.5.1.6'], KO:K01859
Triticum aestivum, 123113970, chalcone--flavanone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Triticum aestivum, 123120374, chalcone isomerase-like protein 2  [EC], ['EC:5.5.1.6'], KO:K01859
Triticum aestivum, 123103161, chalcone isomerase-like protein 2  [EC], ['EC:5.5.1.6'], KO:K01859
Triticum aestivum, 123105650, chalcone--flavanone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Triticum aestivum, 123160748, chalcone--flavanone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Triticum aestivum, 123125981, chalcone--flavanone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Triticum aestivum, 100192198, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Triticum aestivum, 123042301, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Triticum aestivum, 123042899, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Triticum aestivum, 123186261, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Triticum aestivum, 123131062, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Triticum aestivum, 123134660, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Triticum aestivum, 123098991, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Triticum aestivum, 123089513, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Triticum aestivum, 123141888, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Triticum aestivum, 123108371, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Triticum aestivum, 123077675, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123060617, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123166406, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123079573, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123148431, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123062435, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123048956, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123099110, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123191571, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123069147, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123053304, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123159216, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123071222, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123089637, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123040936, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123108467, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum aestivum, 123148568, flavonoid 3'-monooxygenase CYP75B4-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum aestivum, 123167460, flavonoid 3'-monooxygenase CYP75B4-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum aestivum, 123133137, flavonoid 3'-monooxygenase CYP75B4-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum aestivum, 123101915, flavonoid 3'-monooxygenase CYP75B3-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum aestivum, 123070997, flavonoid 3'-monooxygenase CYP75B3-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum aestivum, 123162411, flavonoid 3'-monooxygenase CYP75B4-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum aestivum, 123183410, flavonoid 3'-monooxygenase CYP75B3-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum aestivum, 123042898, flavonoid 3'-monooxygenase CYP75B3-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum aestivum, 123078633, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Triticum aestivum, 100125685, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Triticum aestivum, 123070190, dihydroflavonol 4-reductase-like isoform X1  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Triticum aestivum, 123043285, cytochrome P450 93G1-like  [EC], ['EC:1.14.19.76'], KO:K23180
Triticum aestivum, 123187112, cytochrome P450 93G1-like  [EC], ['EC:1.14.19.76'], KO:K23180
Triticum aestivum, 123051157, cytochrome P450 93G1-like  [EC], ['EC:1.14.19.76'], KO:K23180
Triticum aestivum, 123145987, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123129897, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123131240, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123168051, flavonoid 3',5'-hydroxylase-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123047038, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123133080, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123133082, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123098061, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123170643, flavonoid 3',5'-hydroxylase-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123151823, flavonoid 3',5'-hydroxylase-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123139302, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123139307, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123088337, flavonoid 3',5'-hydroxylase-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123140667, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123054866, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123129885, leucoanthocyanidin dioxygenase 1-like  [EC], ['EC:1.14.20.4'], KO:K05277
Triticum aestivum, 123133050, leucoanthocyanidin dioxygenase 1-like  [EC], ['EC:1.14.20.4'], KO:K05277
Triticum aestivum, 123140655, leucoanthocyanidin dioxygenase 2-like  [EC], ['EC:1.14.20.4'], KO:K05277
Triticum aestivum, 123042897, leucoanthocyanidin dioxygenase 2-like  [EC], ['EC:1.14.20.4'], KO:K05277
Triticum aestivum, 123186651, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123186652, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123186653, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123046886, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123046888, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123046889, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123046890, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123046891, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123040141, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123190564, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123190566, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123190569, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123190572, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123190573, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123191123, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123191124, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123047541, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123047542, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123050175, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123050279, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123054723, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123054724, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123054727, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123054732, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123054733, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123054738, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123042234, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123042237, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123042239, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123042851, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123186210, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123186211, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123186212, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum aestivum, 123094982, leucoanthocyanidin reductase-like isoform X1  [EC], ['EC:1.17.1.3'], KO:K13081
Triticum aestivum, 123081808, leucoanthocyanidin reductase-like isoform X1  [EC], ['EC:1.17.1.3'], KO:K13081
Triticum aestivum, 123098003, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Triticum aestivum, 123175387, leucoanthocyanidin reductase-like isoform X1  [EC], ['EC:1.17.1.3'], KO:K13081
Triticum aestivum, 123075816, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123165169, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123059507, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123112079, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123166947, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123131661, hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123133195, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123149687, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123168796, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123169430, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123114610, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123115594, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123116222, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123134357, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123150378, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123083543, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123117303, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123135448, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123191359, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123065771, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123084513, uncharacterized protein LOC123084513  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123154409, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123171410, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123066308, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123066311, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123066668, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123067808, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123172699, putrescine hydroxycinnamoyltransferase 1-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123172704, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123172705, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123173858, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123068028, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123121612, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123176892, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123177311, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123103848, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123138606, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123139504, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123159288, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123143045, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123072173, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123124850, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123125829, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123162355, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123162658, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123163658, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123057293, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123074848, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum aestivum, 123060768, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Triticum aestivum, 123079468, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Triticum aestivum, 123062331, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Triticum aestivum, 123100799, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Triticum aestivum, 123137844, cytochrome P450 98A1  [EC], ['EC:1.14.14.96'], KO:K09754
Triticum aestivum, 123071098, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Triticum aestivum, 123182452, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Triticum aestivum, 123108593, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Triticum aestivum, 123165759, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Triticum aestivum, 123150226, caffeoyl-CoA O-methyltransferase 1-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Triticum aestivum, 123159425, caffeoyl-CoA O-methyltransferase 1-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Triticum aestivum, 123124986, tricin synthase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Triticum aestivum, 123107218, tricin synthase 2-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
