Cucurbita maxima, 111466447, phenylalanine ammonia-lyase G4-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita maxima, 111486125, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Cucurbita maxima, 111488801, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucurbita maxima, 111492719, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucurbita maxima, 111481542, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucurbita maxima, 111481543, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucurbita maxima, 111481544, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucurbita maxima, 111492576, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucurbita maxima, 111485175, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Cucurbita maxima, 111471924, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Cucurbita maxima, 111469596, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Cucurbita maxima, 111497337, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Cucurbita maxima, 111467633, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cucurbita maxima, 111498431, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cucurbita maxima, 111480679, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Cucurbita maxima, 111491385, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Cucurbita maxima, 111483076, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Cucurbita maxima, 111470320, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Cucurbita maxima, 111470321, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Cucurbita maxima, 111481304, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Cucurbita maxima, 111499888, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Cucurbita maxima, 111495628, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Cucurbita maxima, 111490401, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Cucurbita maxima, 111477806, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Cucurbita maxima, 111470853, 1-Cys peroxiredoxin A isoform X1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Cucurbita maxima, 111469851, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111469860, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111469882, peroxidase 63-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111466598, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111471321, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111471326, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111471341, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111485652, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111488183, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111488186, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111467048, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111467055, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111467056, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111467057, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111468425, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111497850, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111498310, peroxidase 21-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111478718, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111478738, peroxidase 64-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111481174, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111484413, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111486566, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111499483, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111499486, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111480890, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111480902, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111484109, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111485229, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111468844, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111468886, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111477242, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111478477, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111466206, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111486919, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111489047, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111486074, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111486076, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111486080, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111490294, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111468255, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111470640, peroxidase 20 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111473526, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111478056, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111498051, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111499974, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111499975, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111482328, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111483385, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111484447, peroxidase 11 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111497576, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111483916, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111483917, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111488315, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111490140, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111490143, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111478881, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111469836, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111496751, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111490832, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111490833, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111490834, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111490835, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111490836, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111490837, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111490838, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111482402, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111467696, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111467726, peroxidase 11-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111483968, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111496276, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111484500, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111484501, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111484502, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111494232, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111495464, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111489422, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111492600, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111492601, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111494849, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111467231, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111480828, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111484052, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111495304, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111497363, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita maxima, 111478455, LOW QUALITY PROTEIN: UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Cucurbita maxima, 111483150, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Cucurbita maxima, 111496796, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Cucurbita maxima, 111479797, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Cucurbita maxima, 111480568, putative beta-glucosidase 41 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Cucurbita maxima, 111492124, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cucurbita maxima, 111493363, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Cucurbita maxima, 111496549, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cucurbita maxima, 111469476, uncharacterized protein LOC111469476  [EC], ['EC:3.2.1.21'], KO:K05349
Cucurbita maxima, 111485719, uncharacterized protein LOC111485719  [EC], ['EC:3.2.1.21'], KO:K05349
Cucurbita maxima, 111473438, uncharacterized protein LOC111473438  [EC], ['EC:3.2.1.21'], KO:K05349
Cucurbita maxima, 111479898, uncharacterized protein LOC111479898  [EC], ['EC:3.2.1.21'], KO:K05349
Cucurbita maxima, 111467651, uncharacterized protein LOC111467651 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Cucurbita maxima, 111468112, uncharacterized protein LOC111468112  [EC], ['EC:3.2.1.21'], KO:K05349
Cucurbita maxima, 111482003, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cucurbita maxima, 111483035, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cucurbita maxima, 111490063, LOW QUALITY PROTEIN: beta-glucosidase 47-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cucurbita maxima, 111476863, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cucurbita maxima, 111495299, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cucurbita maxima, 111470960, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Cucurbita maxima, 111470961, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Cucurbita maxima, 111470962, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Cucurbita maxima, 111470963, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Cucurbita maxima, 111479995, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
