Nymphaea colorata, 116263014, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Nymphaea colorata, 116246131, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116246142, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116260036, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116245980, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Nymphaea colorata, 116261832, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Nymphaea colorata, 116254545, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Nymphaea colorata, 116254566, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Nymphaea colorata, 116254567, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Nymphaea colorata, 116254748, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Nymphaea colorata, 116255574, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Nymphaea colorata, 116256179, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Nymphaea colorata, 116257480, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Nymphaea colorata, 116251514, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Nymphaea colorata, 116252128, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Nymphaea colorata, 116247432, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Nymphaea colorata, 116258371, caffeoyl-CoA O-methyltransferase 5 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Nymphaea colorata, 116248928, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Nymphaea colorata, 116250086, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Nymphaea colorata, 116253047, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Nymphaea colorata, 116262734, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Nymphaea colorata, 116256240, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Nymphaea colorata, 116256525, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Nymphaea colorata, 116252628, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Nymphaea colorata, 116248857, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Nymphaea colorata, 116260880, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Nymphaea colorata, 116262254, caffeic acid 3-O-methyltransferase 1-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Nymphaea colorata, 116262255, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Nymphaea colorata, 116252484, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Nymphaea colorata, 116263147, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Nymphaea colorata, 116253190, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Nymphaea colorata, 116253193, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Nymphaea colorata, 116253194, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Nymphaea colorata, 116260906, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Nymphaea colorata, 116263176, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Nymphaea colorata, 116264395, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Nymphaea colorata, 116264406, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Nymphaea colorata, 116264825, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Nymphaea colorata, 116263208, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Nymphaea colorata, 116249618, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116249622, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116260651, uncharacterized protein LOC116260651  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116260653, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116260938, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116261029, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116261030, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116250357, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116250553, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116250749, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116250771, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116261671, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116261771, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116261863, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116250902, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116251044, peroxidase 18  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116251185, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116261992, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116262130, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116262131, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116262414, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116262500, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116251616, peroxidase 50-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116251622, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116251645, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116252206, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116252210, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116252246, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116262581, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116262582, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116262602, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116262603, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116262761, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116262797, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116262871, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116262902, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116262943, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116262951, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116262994, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116263004, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116263006, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116263036, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116263058, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116263066, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116263078, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116263083, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116263130, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116252723, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116263275, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116263288, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116263397, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116263712, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116263804, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116254030, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116264916, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116265373, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116255090, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116255796, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116255801, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116266601, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116266708, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116266914, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116266927, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116267021, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116267125, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116267173, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116245737, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116257080, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116257090, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116246292, peroxidase 19-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116246339, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116257101, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116257799, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116268237, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116247046, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116247271, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116247354, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116247355, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116258047, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116258982, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116259005, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116259006, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116259049, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116259169, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116248177, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116248300, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116248394, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116248450, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116248564, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116248665, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116259719, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116259720, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116259721, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116248830, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116248842, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116248844, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116248991, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116249307, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nymphaea colorata, 116260381, peroxidase 19-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
