Nelumbo nucifera, 104595050, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Nelumbo nucifera, 104602004, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104602003, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104603652, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104602472, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104602662, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104602474, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104602473, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104602469, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104602477, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104604902, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104604900, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104606414, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104605041, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104605405, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104604901, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104604899, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104605488, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104607639, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104607954, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104606996, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104606997, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104606998, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104607212, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104607115, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104613174, peroxidase 19-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104589275, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104608335, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104612805, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104587423, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104610566, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104610571, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104610567, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104611642, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104589740, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104589739, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104589788, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104589787, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104589835, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104585680, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104585679, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104585678, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104608469, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104608654, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104587005, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 109114727, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104598179, wall-associated receptor kinase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104598958, beta-glucosidase 22-like  [EC], ['EC:3.2.1.21'], KO:K01188
Nelumbo nucifera, 104604959, putative beta-glucosidase 41  [EC], ['EC:3.2.1.21'], KO:K01188
Nelumbo nucifera, 104594813, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Nelumbo nucifera, 104596995, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Nelumbo nucifera, 104604111, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Nelumbo nucifera, 104613042, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Nelumbo nucifera, 104597509, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Nelumbo nucifera, 104604855, beta-glucosidase 46  [EC], ['EC:3.2.1.21'], KO:K05350
Nelumbo nucifera, 104609759, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Nelumbo nucifera, 104609066, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Nelumbo nucifera, 104587780, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Nelumbo nucifera, 104589178, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Nelumbo nucifera, 104588903, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Nelumbo nucifera, 104612098, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
