Tripterygium wilfordii, 119988554, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Tripterygium wilfordii, 119996582, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 120007204, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 120007307, putrescine hydroxycinnamoyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 120007427, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 120008006, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 119997643, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 119997999, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 120010851, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 119992803, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Tripterygium wilfordii, 119987889, monoacylglycerol lipase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Tripterygium wilfordii, 120001304, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Tripterygium wilfordii, 120005036, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Tripterygium wilfordii, 119982151, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Tripterygium wilfordii, 119983358, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Tripterygium wilfordii, 120008037, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Tripterygium wilfordii, 119998243, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Tripterygium wilfordii, 119998977, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Tripterygium wilfordii, 119988286, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Tripterygium wilfordii, 119990086, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Tripterygium wilfordii, 119990419, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Tripterygium wilfordii, 120002633, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Tripterygium wilfordii, 119992999, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Tripterygium wilfordii, 120006306, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Tripterygium wilfordii, 119996743, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Tripterygium wilfordii, 120008773, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Tripterygium wilfordii, 120008035, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Tripterygium wilfordii, 120005670, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Tripterygium wilfordii, 119996544, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Tripterygium wilfordii, 119998005, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Tripterygium wilfordii, 120014785, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Tripterygium wilfordii, 120015322, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Tripterygium wilfordii, 120015626, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Tripterygium wilfordii, 119982668, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Tripterygium wilfordii, 120003335, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Tripterygium wilfordii, 119980326, LOW QUALITY PROTEIN: caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Tripterygium wilfordii, 119991969, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Tripterygium wilfordii, 120004090, caffeic acid 3-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Tripterygium wilfordii, 119992484, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Tripterygium wilfordii, 120004360, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Tripterygium wilfordii, 120017161, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Tripterygium wilfordii, 120017162, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Tripterygium wilfordii, 119993419, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Tripterygium wilfordii, 119993421, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Tripterygium wilfordii, 119993422, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Tripterygium wilfordii, 120000886, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Tripterygium wilfordii, 120002181, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Tripterygium wilfordii, 120002182, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Tripterygium wilfordii, 120002859, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Tripterygium wilfordii, 119990756, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Tripterygium wilfordii, 119981317, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Tripterygium wilfordii, 119981318, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Tripterygium wilfordii, 119981319, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Tripterygium wilfordii, 119982587, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Tripterygium wilfordii, 120017280, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Tripterygium wilfordii, 120006934, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Tripterygium wilfordii, 120006943, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Tripterygium wilfordii, 120006953, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Tripterygium wilfordii, 120006964, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Tripterygium wilfordii, 119988561, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Tripterygium wilfordii, 119980505, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Tripterygium wilfordii, 119980844, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Tripterygium wilfordii, 119981060, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Tripterygium wilfordii, 120015686, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Tripterygium wilfordii, 119987394, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119987630, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119987830, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119999845, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119988634, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120012328, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119988787, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119988878, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119988940, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120000889, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120001024, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120013096, peroxidase 57-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120013130, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120001772, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120001784, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120001942, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120013536, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120013537, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120013595, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120013850, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120014565, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119990894, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119990960, peroxidase 1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119991033, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119991039, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120002899, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120003481, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120003528, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120004080, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120004115, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120004116, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120015276, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120015277, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120015441, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120015599, peroxidase 73-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119992626, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120004571, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120004572, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120016294, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119981450, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119981637, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119981699, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119981987, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120005644, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119993778, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119993840, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120005901, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120006251, peroxidase 25 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120006274, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120017251, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120017271, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119983135, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119983158, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119995102, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119995218, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119995230, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119995249, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119995250, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119995262, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119995302, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119995303, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119995320, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119995328, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119995369, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119995401, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119995409, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119995520, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119995524, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119995525, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119995526, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119995529, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119996286, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119996715, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119997102, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119997124, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120008110, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120008468, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119985369, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119997442, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119997752, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119997763, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120009208, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120009562, peroxidase 6-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119986207, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 119998459, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120010107, peroxidase 63-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120010354, peroxidase 6-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tripterygium wilfordii, 120003124, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Tripterygium wilfordii, 120003507, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Tripterygium wilfordii, 120015697, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
