Juglans regia, 108988497, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Juglans regia, 109004652, aldehyde dehydrogenase family 2 member C4-like isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Juglans regia, 109004654, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Juglans regia, 109004656, aldehyde dehydrogenase family 2 member C4-like isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Juglans regia, 108992054, cytochrome P450 84A1-like isoform X1  [EC], ['EC:1.14.-.-'], KO:K09755
Juglans regia, 109010690, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Juglans regia, 109007527, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Juglans regia, 108981438, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Juglans regia, 108984894, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Juglans regia, 108988354, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Juglans regia, 108984504, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Juglans regia, 109001928, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Juglans regia, 109019627, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Juglans regia, 109019628, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Juglans regia, 108997950, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Juglans regia, 108996985, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Juglans regia, 108988282, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Juglans regia, 109017756, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Juglans regia, 109016296, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Juglans regia, 108996320, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Juglans regia, 108992460, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Juglans regia, 108992461, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Juglans regia, 108992462, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Juglans regia, 108992463, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Juglans regia, 108994266, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Juglans regia, 109014223, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Juglans regia, 109019241, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Juglans regia, 108981442, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Juglans regia, 109001164, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Juglans regia, 108992831, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109000934, peroxidase 19-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108984222, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108991044, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108991945, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108991997, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109006124, peroxidase 20-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109005199, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108986241, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108986243, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108986244, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108979327, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108981424, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108983137, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108988546, peroxidase 35-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108988550, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108988382, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108984927, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108991316, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108989194, peroxidase A2-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108982307, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108987099, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108989409, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108989957, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108989963, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108981686, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108985677, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108979445, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108992318, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108980296, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109005121, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109006235, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109011394, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108979790, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108982099, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108991758, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108982758, peroxidase 10-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108979079, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108979685, peroxidase 16-like isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108997027, peroxidase 63-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108997653, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109006824, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109006832, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109004171, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109020639, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108996632, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108999285, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108993893, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109020700, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108999320, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109001609, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109001633, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109001634, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109003691, peroxidase 29-like isoform X3  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109005372, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109005406, peroxidase 43-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109006470, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109007523, peroxidase 5-like isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109009576, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109013790, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108996761, LOW QUALITY PROTEIN: peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108998935, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109007603, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109007617, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109011145, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109021383, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109021385, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108993550, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109007078, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109007091, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109007092, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109007093, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109004411, peroxidase 19-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109007685, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109011226, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109021437, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109010773, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109020926, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109020930, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108996904, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108996919, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108996920, cationic peroxidase 1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109010267, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108996989, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109005636, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109006744, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109008841, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 109011944, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108990584, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Juglans regia, 108991235, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Juglans regia, 108991273, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Juglans regia, 108995305, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Juglans regia, 108995304, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Juglans regia, 109004264, beta-glucosidase 11-like  [EC], ['EC:3.2.1.21'], KO:K01188
Juglans regia, 108983761, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Juglans regia, 108989391, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Juglans regia, 109000454, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Juglans regia, 109014252, putative beta-glucosidase 41 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Juglans regia, 109004263, beta-glucosidase 11-like  [EC], ['EC:3.2.1.21'], KO:K01188
Juglans regia, 108993364, putative beta-glucosidase 41  [EC], ['EC:3.2.1.21'], KO:K01188
Juglans regia, 108984861, beta-glucosidase BoGH3B-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Juglans regia, 108989783, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Juglans regia, 109014152, beta-glucosidase BoGH3B-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Juglans regia, 108997882, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Juglans regia, 108997931, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Juglans regia, 109007633, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Juglans regia, 109007644, beta-glucosidase BoGH3B-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Juglans regia, 109013987, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Juglans regia, 109013989, beta-glucosidase BoGH3B-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Juglans regia, 109019909, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Juglans regia, 109014162, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Juglans regia, 109000896, beta-glucosidase 47-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Juglans regia, 108997937, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Juglans regia, 108988663, feruloyl CoA ortho-hydroxylase F6H1-2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Juglans regia, 109000614, feruloyl CoA ortho-hydroxylase F6H1-3-like  [EC], ['EC:1.14.11.61'], KO:K06892
Juglans regia, 108999143, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Juglans regia, 108999144, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Juglans regia, 108986806, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Juglans regia, 108988867, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Juglans regia, 108988868, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Juglans regia, 108988869, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
