Quercus lobata, 115976049, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Quercus lobata, 115988655, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115973541, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115989730, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115990643, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115990646, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115990700, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115990711, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115990712, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115990716, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115990718, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115991958, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115953877, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115953924, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115962977, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115953326, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Quercus lobata, 115969897, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Quercus lobata, 115954692, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Quercus lobata, 115990358, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Quercus lobata, 115975799, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Quercus lobata, 115992948, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Quercus lobata, 115976158, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Quercus lobata, 115976159, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Quercus lobata, 115976161, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Quercus lobata, 115976162, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Quercus lobata, 115976164, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Quercus lobata, 115976166, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Quercus lobata, 115976167, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Quercus lobata, 115995011, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Quercus lobata, 115968823, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Quercus lobata, 115991836, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Quercus lobata, 115976956, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Quercus lobata, 115976958, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Quercus lobata, 115978417, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Quercus lobata, 115995236, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Quercus lobata, 115966971, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Quercus lobata, 115969423, cytochrome P450 84A1-like isoform X1  [EC], ['EC:1.14.-.-'], KO:K09755
Quercus lobata, 115959905, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Quercus lobata, 115960109, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Quercus lobata, 115960477, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Quercus lobata, 115994059, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Quercus lobata, 115960695, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Quercus lobata, 115961310, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Quercus lobata, 115977818, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Quercus lobata, 115977827, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Quercus lobata, 115965516, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Quercus lobata, 115983734, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Quercus lobata, 115954874, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Quercus lobata, 115954921, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Quercus lobata, 115956983, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Quercus lobata, 115956988, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Quercus lobata, 115957251, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Quercus lobata, 115958367, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Quercus lobata, 115974993, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Quercus lobata, 115975154, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Quercus lobata, 115958535, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Quercus lobata, 115975406, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Quercus lobata, 115975407, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Quercus lobata, 115994716, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Quercus lobata, 115978283, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Quercus lobata, 115968738, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Quercus lobata, 115972313, probable cinnamyl alcohol dehydrogenase 1 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Quercus lobata, 115973358, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Quercus lobata, 115973359, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Quercus lobata, 115975137, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Quercus lobata, 115975139, probable cinnamyl alcohol dehydrogenase 1 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Quercus lobata, 115959513, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Quercus lobata, 115975074, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Quercus lobata, 115951004, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Quercus lobata, 115976425, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115976426, peroxidase 51-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115976447, peroxidase 59-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115976525, peroxidase 59-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115994320, LOW QUALITY PROTEIN: peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115994732, peroxidase 17-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115994733, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115960795, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115994879, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115995104, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115995132, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115995331, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115962280, peroxidase 5-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115962937, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115962991, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115977748, peroxidase 59-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115977782, peroxidase 59-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115977786, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115977791, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115977798, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115977808, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115977878, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115977887, peroxidase A2-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115977903, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115977912, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115977974, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115963723, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115963848, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115978303, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115979012, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115979118, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115979569, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115979619, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115979648, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115980266, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115980281, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115965866, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115966024, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115966383, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115966545, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115966555, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115981157, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115981785, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115981837, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115967579, cationic peroxidase 2-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115967741, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115967898, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115982013, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115982120, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115982139, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115982251, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115982252, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115982385, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115982398, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115982549, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115949776, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115950551, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115950555, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115982632, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115982775, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115982911, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115950942, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115951680, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115952426, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115969005, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115969144, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115969233, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115969308, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115969382, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115969418, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115969433, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115969470, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115969511, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115969851, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115984187, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115984812, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115984819, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115970952, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115986822, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115953512, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115953559, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115953603, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115953993, cationic peroxidase 1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115954025, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115954298, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115954749, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115972526, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115988555, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115988738, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115955828, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115955829, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115973030, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115973601, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115973613, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115973656, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115990035, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115974404, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115974537, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115974677, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115990120, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115990202, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115990272, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115990350, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115957678, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115958225, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115958998, MDIS1-interacting receptor like kinase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115959394, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115959433, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115975527, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115992879, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115993006, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115993050, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115993873, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Quercus lobata, 115959804, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Quercus lobata, 115993936, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Quercus lobata, 115993950, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Quercus lobata, 115950353, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Quercus lobata, 115950744, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Quercus lobata, 115993897, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Quercus lobata, 115986887, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
