Erythranthe guttata, 105955553, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Erythranthe guttata, 105961214, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105961445, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105961466, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105961484, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105961487, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105974733, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105950539, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105950543, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105950600, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105950601, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105950615, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105975542, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105975699, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105951654, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105976604, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105976693, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105976699, rosmarinate synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105949334, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Erythranthe guttata, 105949335, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Erythranthe guttata, 105963605, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Erythranthe guttata, 105951765, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Erythranthe guttata, 105951768, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Erythranthe guttata, 105951769, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Erythranthe guttata, 105953782, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Erythranthe guttata, 105966145, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Erythranthe guttata, 105956782, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Erythranthe guttata, 105972240, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Erythranthe guttata, 105960104, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Erythranthe guttata, 105961300, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Erythranthe guttata, 105974221, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Erythranthe guttata, 105958578, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Erythranthe guttata, 105970959, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Erythranthe guttata, 105950082, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Erythranthe guttata, 105952615, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Erythranthe guttata, 105952640, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Erythranthe guttata, 105965489, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Erythranthe guttata, 105957548, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Erythranthe guttata, 105958577, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Erythranthe guttata, 105952096, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Erythranthe guttata, 105972356, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Erythranthe guttata, 105974067, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Erythranthe guttata, 105973009, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Erythranthe guttata, 105965341, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Erythranthe guttata, 105958797, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Erythranthe guttata, 105959984, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Erythranthe guttata, 105948694, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Erythranthe guttata, 105963647, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Erythranthe guttata, 105964561, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Erythranthe guttata, 105964570, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Erythranthe guttata, 105964613, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Erythranthe guttata, 105964669, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Erythranthe guttata, 105957521, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Erythranthe guttata, 105972963, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Erythranthe guttata, 105950726, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Erythranthe guttata, 105962417, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Erythranthe guttata, 105973980, reticuline oxidase-like protein  [EC], ['EC:1.1.1.195'], KO:K22395
Erythranthe guttata, 105951320, reticuline oxidase-like protein  [EC], ['EC:1.1.1.195'], KO:K22395
Erythranthe guttata, 105970483, 1-Cys peroxiredoxin-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Erythranthe guttata, 105962826, 1-Cys peroxiredoxin-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Erythranthe guttata, 105953164, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105953165, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105953166, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105953769, peroxidase 52-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105965485, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105965967, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105966016, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105966023, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105966031, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105966600, peroxidase 29 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105966630, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105966633, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105955288, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105955289, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105955384, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105955385, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105955386, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105955388, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105955389, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105955434, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105955436, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105967336, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105967503, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105968305, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105968887, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105969021, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105969141, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105957428, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105969941, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105958124, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105958140, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105970393, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105970411, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105970418, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105958816, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105958954, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105971960, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105971962, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105971963, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105972034, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105972069, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105959703, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105959897, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105972087, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105972088, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105972107, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105972108, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105972718, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105973024, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105960831, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105960916, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105961013, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105974026, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105949528, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105949611, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105974813, peroxidase 39-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105950045, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105950128, LOW QUALITY PROTEIN: peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105950129, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105950172, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105950636, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105950637, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105950715, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105962341, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105962985, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105975309, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105975468, uncharacterized protein LOC105975468  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105975704, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105975732, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105951105, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105951106, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105963669, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105976539, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105977398, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105977451, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105952774, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105965270, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105965305, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Erythranthe guttata, 105967837, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
