Triticum dicoccoides, 119326421, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119345190, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119345282, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119346521, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119329207, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119312324, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119314842, hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119278324, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119279681, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119331947, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119332199, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119282064, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119282421, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119333182, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119282610, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119282611, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119319318, hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119319323, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119319324, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119319325, putrescine hydroxycinnamoyltransferase 1-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119319327, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119335890, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119336490, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119301687, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119321369, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119358697, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119305132, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119305619, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119339910, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119288283, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119288285, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119324086, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119341181, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119273127, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119273591, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119325543, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119348794, cytochrome P450 98A1  [EC], ['EC:1.14.14.96'], KO:K09754
Triticum dicoccoides, 119277305, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Triticum dicoccoides, 119284878, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Triticum dicoccoides, 119269306, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Triticum dicoccoides, 119309428, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum dicoccoides, 119311060, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum dicoccoides, 119276703, uncharacterized protein LOC119276703 isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum dicoccoides, 119276722, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum dicoccoides, 119364964, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum dicoccoides, 119295680, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum dicoccoides, 119279735, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum dicoccoides, 119297221, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum dicoccoides, 119301046, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum dicoccoides, 119355825, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum dicoccoides, 119268777, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum dicoccoides, 119302239, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum dicoccoides, 119286111, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum dicoccoides, 119340583, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum dicoccoides, 119308572, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Triticum dicoccoides, 119329807, caffeoyl-CoA O-methyltransferase 1-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Triticum dicoccoides, 119297496, tricin synthase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Triticum dicoccoides, 119334278, tricin synthase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Triticum dicoccoides, 119337423, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Triticum dicoccoides, 119305741, tricin synthase 2-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Triticum dicoccoides, 119309679, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119325906, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119326027, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119326265, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119327687, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119311997, cinnamoyl-CoA reductase 1-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119311999, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119314618, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119314622, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119314623, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119314776, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119297004, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119297005, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119297008, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119298044, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119316258, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119301104, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119318460, cinnamoyl-CoA reductase 1-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119301706, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119322159, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119305228, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119305229, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119305230, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119339896, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119339897, cinnamoyl-CoA reductase 1-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119324748, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119325657, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119308628, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Triticum dicoccoides, 119327912, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Triticum dicoccoides, 119348795, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Triticum dicoccoides, 119278050, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Triticum dicoccoides, 119330361, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Triticum dicoccoides, 119284887, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Triticum dicoccoides, 119268291, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Triticum dicoccoides, 119270022, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Triticum dicoccoides, 119341033, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Triticum dicoccoides, 119341527, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Triticum dicoccoides, 119327716, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum dicoccoides, 119328411, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum dicoccoides, 119346610, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum dicoccoides, 119349243, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum dicoccoides, 119365904, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum dicoccoides, 119279165, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum dicoccoides, 119316108, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum dicoccoides, 119336769, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum dicoccoides, 119356682, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum dicoccoides, 119358584, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum dicoccoides, 119359747, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum dicoccoides, 119271472, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum dicoccoides, 119274587, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum dicoccoides, 119274849, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Triticum dicoccoides, 119349565, probable inactive methyltransferase Os04g0175900  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Triticum dicoccoides, 119278015, probable inactive methyltransferase Os04g0175900  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Triticum dicoccoides, 119279020, tricetin 3',4',5'-O-trimethyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Triticum dicoccoides, 119280848, tricetin 3',4',5'-O-trimethyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Triticum dicoccoides, 119300047, probable inactive methyltransferase Os04g0175900  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Triticum dicoccoides, 119334749, flavone O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Triticum dicoccoides, 119319175, flavone O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Triticum dicoccoides, 119336376, flavone O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Triticum dicoccoides, 119270800, tricetin 3',4',5'-O-trimethyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Triticum dicoccoides, 119305126, tricetin 3',4',5'-O-trimethyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Triticum dicoccoides, 119305127, tricetin 3',4',5'-O-trimethyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Triticum dicoccoides, 119306746, tricetin 3',4',5'-O-trimethyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Triticum dicoccoides, 119324413, flavone O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Triticum dicoccoides, 119361971, tricetin 3',4',5'-O-trimethyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Triticum dicoccoides, 119361975, tricetin 3',4',5'-O-trimethyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Triticum dicoccoides, 119341366, flavone O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Triticum dicoccoides, 119326802, probable cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Triticum dicoccoides, 119328100, probable cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Triticum dicoccoides, 119329721, probable cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Triticum dicoccoides, 119278307, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Triticum dicoccoides, 119278308, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Triticum dicoccoides, 119367075, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Triticum dicoccoides, 119353008, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Triticum dicoccoides, 119353009, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Triticum dicoccoides, 119316552, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Triticum dicoccoides, 119322839, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Triticum dicoccoides, 119358809, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Triticum dicoccoides, 119270239, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Triticum dicoccoides, 119270241, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Triticum dicoccoides, 119339582, probable cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Triticum dicoccoides, 119360432, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Triticum dicoccoides, 119340547, probable cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Triticum dicoccoides, 119362070, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Triticum dicoccoides, 119362122, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Triticum dicoccoides, 119367460, 1-Cys peroxiredoxin PER1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Triticum dicoccoides, 119359103, 1-Cys peroxiredoxin PER1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Triticum dicoccoides, 119310194, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Triticum dicoccoides, 119310319, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Triticum dicoccoides, 119325814, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Triticum dicoccoides, 119325822, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Triticum dicoccoides, 119325830, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Triticum dicoccoides, 119325862, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Triticum dicoccoides, 119326215, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Triticum dicoccoides, 119326369, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Triticum dicoccoides, 119326442, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Triticum dicoccoides, 119326780, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Triticum dicoccoides, 119327329, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Triticum dicoccoides, 119342885, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Triticum dicoccoides, 119342901, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Triticum dicoccoides, 119343118, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
