Morus notabilis, 21407112, phenylalanine ammonia-lyase class 1  [EC], ['EC:4.3.1.24'], KO:K10775
Morus notabilis, 21384092, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 21399777, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 21400056, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 21400523, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 21400524, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 21401056, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 21403292, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 21392557, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 21410476, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Morus notabilis, 21408132, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Morus notabilis, 21397772, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Morus notabilis, 21384801, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Morus notabilis, 21386719, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Morus notabilis, 21389635, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Morus notabilis, 21409862, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Morus notabilis, 21410121, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Morus notabilis, 21396681, cinnamoyl-CoA reductase 1 isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Morus notabilis, 21396683, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Morus notabilis, 112094039, aldehyde dehydrogenase family 2 member C4-like isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Morus notabilis, 21403698, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Morus notabilis, 21403699, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Morus notabilis, 21403701, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Morus notabilis, 21409371, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Morus notabilis, 21396224, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Morus notabilis, 21399503, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Morus notabilis, 21386163, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Morus notabilis, 21402552, caffeic acid 3-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Morus notabilis, 21402554, LOW QUALITY PROTEIN: caffeic acid 3-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Morus notabilis, 21402556, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Morus notabilis, 21406195, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Morus notabilis, 21409656, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Morus notabilis, 21409658, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Morus notabilis, 21410172, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Morus notabilis, 112094374, LOW QUALITY PROTEIN: probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Morus notabilis, 21399565, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Morus notabilis, 21392628, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Morus notabilis, 21408650, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Morus notabilis, 21408651, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Morus notabilis, 21408652, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Morus notabilis, 21411521, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Morus notabilis, 21407843, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Morus notabilis, 21397119, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Morus notabilis, 21406892, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21407160, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21393316, LOW QUALITY PROTEIN: lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21393317, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21393661, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21394066, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21394788, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21408738, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21408860, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21409187, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21409276, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21410190, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 112090620, LOW QUALITY PROTEIN: peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21396268, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21396430, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21410302, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21410626, LOW QUALITY PROTEIN: peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 112094103, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21396696, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21397139, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21397142, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21397319, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21397468, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21397947, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21398563, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21398564, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21385542, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21385792, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21385794, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21385798, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21385800, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21385871, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21399285, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21399340, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21399341, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21399771, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21386166, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21386344, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21386529, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21386805, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21400231, cationic peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21400233, cationic peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21387029, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21401239, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21401240, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21401400, peroxidase 59  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21401444, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21402171, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21388833, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21389367, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21402709, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21403084, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21389841, peroxidase 41  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21390378, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21390934, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21404747, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21406090, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21392218, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21406330, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21406665, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21406666, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Morus notabilis, 21392384, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
