Camellia sinensis, 114322151, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Camellia sinensis, 114313885, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114317016, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114279798, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114280650, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114280651, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114282972, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114283064, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114287089, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114266018, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114269230, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114269512, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114270303, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114270305, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114270312, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114273083, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114273085, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114256562, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114257803, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114278438, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114278444, vinorine synthase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114300059, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114300061, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114258632, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114259594, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114259654, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114303480, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Camellia sinensis, 114303482, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Camellia sinensis, 114298795, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Camellia sinensis, 114304123, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Camellia sinensis, 114263843, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Camellia sinensis, 114263845, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Camellia sinensis, 114265165, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Camellia sinensis, 114265740, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Camellia sinensis, 114288248, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Camellia sinensis, 114268149, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Camellia sinensis, 114269434, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Camellia sinensis, 114295542, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Camellia sinensis, 114275663, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Camellia sinensis, 114275665, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
