Manihot esculenta, 110613960, phenylalanine ammonia-lyase-like isoform X1  [EC], ['EC:4.3.1.24'], KO:K10775
Manihot esculenta, 110602451, peroxidase 5-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110603541, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110605650, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110605661, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110607888, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110608961, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110609986, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110609992, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110611117, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110614199, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110631183, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110602651, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110602677, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110605886, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110612274, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110607471, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Manihot esculenta, 110629537, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Manihot esculenta, 110615840, beta-glucosidase 11-like  [EC], ['EC:3.2.1.21'], KO:K01188
Manihot esculenta, 110601324, putative beta-glucosidase 41 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Manihot esculenta, 110617721, beta-glucosidase 13-like  [EC], ['EC:3.2.1.21'], KO:K01188
Manihot esculenta, 110626424, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Manihot esculenta, 110628887, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Manihot esculenta, 110622477, uncharacterized protein LOC110622477  [EC], ['EC:3.2.1.21'], KO:K05349
Manihot esculenta, 110620297, uncharacterized protein LOC110620297  [EC], ['EC:3.2.1.21'], KO:K05349
Manihot esculenta, 110626576, uncharacterized protein LOC110626576  [EC], ['EC:3.2.1.21'], KO:K05349
Manihot esculenta, 110624903, uncharacterized protein LOC110624903 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Manihot esculenta, 110616465, uncharacterized protein LOC110616465 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Manihot esculenta, 110614191, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Manihot esculenta, 110610589, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Manihot esculenta, 110602151, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Manihot esculenta, 110600210, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Manihot esculenta, 110612024, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Manihot esculenta, 110603741, beta-glucosidase 45  [EC], ['EC:3.2.1.21'], KO:K05350
Manihot esculenta, 110619142, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Manihot esculenta, 110618463, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Manihot esculenta, 110619678, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Manihot esculenta, 110625121, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Manihot esculenta, 110625127, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Manihot esculenta, 110625140, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Manihot esculenta, 110625159, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Manihot esculenta, 110618447, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Manihot esculenta, 110623891, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Manihot esculenta, 110619770, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Manihot esculenta, 110624123, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Manihot esculenta, 110614594, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Manihot esculenta, 110625290, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Manihot esculenta, 110619199, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Manihot esculenta, 110624630, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
