Sesamum indicum, 105161317, LOW QUALITY PROTEIN: phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Sesamum indicum, 105177070, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105170772, agmatine coumaroyltransferase-2  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105170885, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105172192, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105172238, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105172239, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105172243, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105172354, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105162700, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Sesamum indicum, 105172202, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Sesamum indicum, 105157552, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Sesamum indicum, 105163122, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Sesamum indicum, 105174041, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Sesamum indicum, 105176171, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Sesamum indicum, 105156377, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Sesamum indicum, 105169526, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Sesamum indicum, 105172712, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Sesamum indicum, 105161821, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Sesamum indicum, 105156703, flavonoid 3',5'-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Sesamum indicum, 105161996, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Sesamum indicum, 105161820, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Sesamum indicum, 105161833, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Sesamum indicum, 105168404, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Sesamum indicum, 105168406, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Sesamum indicum, 105168407, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Sesamum indicum, 105165128, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Sesamum indicum, 105158313, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Sesamum indicum, 105158825, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Sesamum indicum, 105162106, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Sesamum indicum, 105171102, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Sesamum indicum, 105172923, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Sesamum indicum, 105179054, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Sesamum indicum, 105155389, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Sesamum indicum, 105156074, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Sesamum indicum, 105155459, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Sesamum indicum, 105160270, caffeic acid 3-O-methyltransferase 2  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Sesamum indicum, 105166789, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Sesamum indicum, 105166790, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Sesamum indicum, 105166792, LOW QUALITY PROTEIN: caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Sesamum indicum, 105166793, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Sesamum indicum, 105155461, caffeic acid 3-O-methyltransferase 2-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Sesamum indicum, 105176053, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Sesamum indicum, 105171204, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Sesamum indicum, 105169503, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Sesamum indicum, 105156006, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Sesamum indicum, 105165982, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Sesamum indicum, 105179042, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Sesamum indicum, 105175932, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Sesamum indicum, 105167246, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Sesamum indicum, 105178844, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Sesamum indicum, 105177799, peroxidase 73 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105155264, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105156835, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105155705, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105155907, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105156219, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105156220, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105156221, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105156222, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105156223, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105156224, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105161240, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105161241, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105161265, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105160817, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105159001, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105161067, putative Peroxidase 48 isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105159364, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105162056, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105162057, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105159307, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105162255, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105160267, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105164889, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105165620, peroxidase P7-like isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105165732, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105165752, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105166002, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105163909, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105163910, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105162609, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105162642, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105165788, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105168207, peroxidase 6  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105167693, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105167987, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105169899, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105170229, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105169185, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105169211, cationic peroxidase 2-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105175345, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105179284, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105176439, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105177169, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105177177, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105174640, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105174641, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105174327, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105175398, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105172805, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105172589, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105171593, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105177673, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105176241, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105179251, peroxidase 66 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105179252, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105172108, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105178883, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105178505, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105162172, LOW QUALITY PROTEIN: peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105161262, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105161263, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105175960, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105163979, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105175601, peroxidase 19 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105178605, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105178606, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 110012114, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105156635, peroxidase 39-like  [EC], ['EC:1.11.1.7'], KO:K00430
Sesamum indicum, 105176179, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Sesamum indicum, 105160028, beta-glucosidase 6  [EC], ['EC:3.2.1.21'], KO:K01188
Sesamum indicum, 105161676, uncharacterized protein LOC105161676  [EC], ['EC:3.2.1.21'], KO:K05349
Sesamum indicum, 105164008, uncharacterized protein LOC105164008 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Sesamum indicum, 105163879, uncharacterized protein LOC105163879 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Sesamum indicum, 105168898, uncharacterized protein LOC105168898 isoform X2  [EC], ['EC:3.2.1.21'], KO:K05349
Sesamum indicum, 105170098, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Sesamum indicum, 105170099, uncharacterized protein LOC105170099  [EC], ['EC:3.2.1.21'], KO:K05349
Sesamum indicum, 105170244, uncharacterized protein LOC105170244  [EC], ['EC:3.2.1.21'], KO:K05349
Sesamum indicum, 105179433, uncharacterized protein LOC105179433  [EC], ['EC:3.2.1.21'], KO:K05349
Sesamum indicum, 105178753, uncharacterized protein LOC105178753  [EC], ['EC:3.2.1.21'], KO:K05349
Sesamum indicum, 105173942, uncharacterized protein LOC105173942  [EC], ['EC:3.2.1.21'], KO:K05349
Sesamum indicum, 105173943, uncharacterized protein LOC105173943 isoform X2  [EC], ['EC:3.2.1.21'], KO:K05349
Sesamum indicum, 105173945, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Sesamum indicum, 105170959, uncharacterized protein LOC105170959  [EC], ['EC:3.2.1.21'], KO:K05349
Sesamum indicum, 105170243, uncharacterized protein LOC105170243  [EC], ['EC:3.2.1.21'], KO:K05349
Sesamum indicum, 110012609, uncharacterized protein LOC110012609 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Sesamum indicum, 105177023, beta-glucosidase 18  [EC], ['EC:3.2.1.21'], KO:K05350
Sesamum indicum, 105166691, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Sesamum indicum, 105177022, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Sesamum indicum, 105177024, beta-glucosidase 18  [EC], ['EC:3.2.1.21'], KO:K05350
Sesamum indicum, 105177085, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Sesamum indicum, 105170982, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Sesamum indicum, 105169521, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Sesamum indicum, 105169522, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
