Erythranthe guttata, 105950456, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Erythranthe guttata, 105950615, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105975542, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105975699, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105951654, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105976604, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105976693, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105976699, rosmarinate synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105949334, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Erythranthe guttata, 105949335, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Erythranthe guttata, 105963605, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Erythranthe guttata, 105951765, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Erythranthe guttata, 105951768, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Erythranthe guttata, 105951769, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Erythranthe guttata, 105958578, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Erythranthe guttata, 105970959, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Erythranthe guttata, 105950082, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Erythranthe guttata, 105952615, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Erythranthe guttata, 105952640, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Erythranthe guttata, 105965489, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Erythranthe guttata, 105957548, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Erythranthe guttata, 105958577, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Erythranthe guttata, 105952096, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
