Tarenaya hassleriana, 104805263, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Tarenaya hassleriana, 104821231, peroxidase 35-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104821268, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104822363, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104819334, peroxidase 62  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104819336, peroxidase 69-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104813112, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104814404, peroxidase 39  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104825085, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104816713, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104821377, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104817535, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104824885, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104822063, peroxidase 6  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104826155, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104811054, peroxidase 37-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104811055, peroxidase E5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104811056, peroxidase E5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104825300, peroxidase 63-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104804559, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104821306, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104822830, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104816044, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104811773, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104821123, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104823177, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104823712, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104814248, peroxidase 19-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104809847, UDP-glycosyltransferase 72E2-like  [EC], ['EC:2.4.1.111'], KO:K12356
Tarenaya hassleriana, 104800370, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Tarenaya hassleriana, 104826884, UDP-glycosyltransferase 72E1  [EC], ['EC:2.4.1.111'], KO:K12356
Tarenaya hassleriana, 104807550, UDP-glycosyltransferase 72D1  [EC], ['EC:2.4.1.111'], KO:K12356
Tarenaya hassleriana, 104800363, beta-glucosidase 40-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Tarenaya hassleriana, 104822018, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Tarenaya hassleriana, 104822021, LOW QUALITY PROTEIN: beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Tarenaya hassleriana, 104802171, beta-glucosidase 3-like  [EC], ['EC:3.2.1.21'], KO:K01188
Tarenaya hassleriana, 104810969, uncharacterized protein LOC104810969  [EC], ['EC:3.2.1.21'], KO:K05349
Tarenaya hassleriana, 104810970, uncharacterized protein LOC104810970  [EC], ['EC:3.2.1.21'], KO:K05349
Tarenaya hassleriana, 104810727, uncharacterized protein LOC104810727 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Tarenaya hassleriana, 104817621, uncharacterized protein LOC104817621  [EC], ['EC:3.2.1.21'], KO:K05349
Tarenaya hassleriana, 104823781, uncharacterized protein LOC104823781  [EC], ['EC:3.2.1.21'], KO:K05349
Tarenaya hassleriana, 104821482, uncharacterized protein LOC104821482  [EC], ['EC:3.2.1.21'], KO:K05349
Tarenaya hassleriana, 104814905, uncharacterized protein LOC104814905  [EC], ['EC:3.2.1.21'], KO:K05349
Tarenaya hassleriana, 104826957, uncharacterized protein LOC104826957  [EC], ['EC:3.2.1.21'], KO:K05349
Tarenaya hassleriana, 104815064, uncharacterized protein LOC104815064  [EC], ['EC:3.2.1.21'], KO:K05349
Tarenaya hassleriana, 104809512, beta-glucosidase 46 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Tarenaya hassleriana, 104809622, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Tarenaya hassleriana, 104806983, LOW QUALITY PROTEIN: beta-glucosidase 47  [EC], ['EC:3.2.1.21'], KO:K05350
Tarenaya hassleriana, 104812549, cytochrome P450 98A9  [EC], ['EC:1.14.13.-'], KO:K23662
Tarenaya hassleriana, 104810332, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Tarenaya hassleriana, 104811207, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Tarenaya hassleriana, 104822670, LOW QUALITY PROTEIN: feruloyl CoA ortho-hydroxylase 1  [EC], ['EC:1.14.11.61'], KO:K06892
Tarenaya hassleriana, 104807255, UDP-glucosyl transferase 73B2-like isoform X1  [EC], ['EC:2.4.1.128'], KO:K23260
Tarenaya hassleriana, 104807258, UDP-glucosyl transferase 73B2-like  [EC], ['EC:2.4.1.128'], KO:K23260
