Triticum dicoccoides, 119326132, chalcone synthase-like isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum dicoccoides, 119312504, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Triticum dicoccoides, 119300945, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Triticum dicoccoides, 119303798, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Triticum dicoccoides, 119340807, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Triticum dicoccoides, 119308464, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Triticum dicoccoides, 119365932, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Triticum dicoccoides, 119366543, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Triticum dicoccoides, 119356708, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Triticum dicoccoides, 119294168, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Triticum dicoccoides, 119318079, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Triticum dicoccoides, 119321892, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Triticum dicoccoides, 119304118, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Triticum dicoccoides, 119364280, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum dicoccoides, 119292174, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum dicoccoides, 119277409, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum dicoccoides, 119367479, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum dicoccoides, 119332146, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum dicoccoides, 119335496, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum dicoccoides, 119267500, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum dicoccoides, 119269412, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum dicoccoides, 119304265, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum dicoccoides, 119275330, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum dicoccoides, 119329613, flavonoid 3'-monooxygenase CYP75B4-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum dicoccoides, 119295285, flavonoid 3'-monooxygenase CYP75B3-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum dicoccoides, 119349858, flavonoid 3'-monooxygenase CYP75B3-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum dicoccoides, 119366542, flavonoid 3'-monooxygenase CYP75B3-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum dicoccoides, 119319554, flavonoid 3'-monooxygenase CYP75B4-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum dicoccoides, 119322175, flavonoid 3'-monooxygenase CYP75B4-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum dicoccoides, 119338089, flavonoid 3'-monooxygenase CYP75B4-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum dicoccoides, 119276348, dihydroflavonol 4-reductase isoform X1  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Triticum dicoccoides, 119268458, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Triticum dicoccoides, 119352891, cytochrome P450 93G1-like  [EC], ['EC:1.14.19.76'], KO:K23180
Triticum dicoccoides, 119361919, cytochrome P450 93G1-like  [EC], ['EC:1.14.19.76'], KO:K23180
Triticum dicoccoides, 119366002, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum dicoccoides, 119314882, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum dicoccoides, 119330628, flavonoid 3',5'-hydroxylase-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum dicoccoides, 119317373, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum dicoccoides, 119288140, flavonoid 3',5'-hydroxylase-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum dicoccoides, 119324785, flavonoid 3',5'-hydroxylase-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum dicoccoides, 119324825, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum dicoccoides, 119325713, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum dicoccoides, 119314263, leucoanthocyanidin dioxygenase 1-like  [EC], ['EC:1.14.20.4'], KO:K05277
Triticum dicoccoides, 119368967, leucoanthocyanidin dioxygenase 2-like  [EC], ['EC:1.14.20.4'], KO:K05277
Triticum dicoccoides, 119324987, leucoanthocyanidin dioxygenase 2-like  [EC], ['EC:1.14.20.4'], KO:K05277
Triticum dicoccoides, 119343101, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119343446, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119344362, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119344363, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119344594, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119345496, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119348096, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119348639, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119365826, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119365829, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119365830, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119365831, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119365832, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119365836, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119365837, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119366539, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119366540, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119352459, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119368461, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119356613, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119356614, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119356615, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119356617, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119356618, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119356619, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119356622, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119356623, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119356625, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119356627, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119357206, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119357207, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119358703, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119361244, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119340433, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119273584, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Triticum dicoccoides, 119293758, leucoanthocyanidin reductase-like isoform X1  [EC], ['EC:1.17.1.3'], KO:K13081
Triticum dicoccoides, 119320953, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Triticum dicoccoides, 119288727, leucoanthocyanidin reductase-like isoform X1  [EC], ['EC:1.17.1.3'], KO:K13081
Triticum dicoccoides, 119309641, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119326443, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119343505, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119344793, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119345190, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119345282, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119346521, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119329207, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119312324, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119314842, hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119278324, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119279681, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119331947, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119332199, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119282064, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119282421, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119333182, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119282610, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119282611, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119319318, hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119319323, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119319324, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119319325, putrescine hydroxycinnamoyltransferase 1-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119319327, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119335890, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119336490, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119301687, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119321369, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119358697, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119305132, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119305619, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119339910, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119288283, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119288285, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119324086, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119341181, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119273127, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119273591, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119325543, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119348794, cytochrome P450 98A1  [EC], ['EC:1.14.14.96'], KO:K09754
Triticum dicoccoides, 119277305, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Triticum dicoccoides, 119284878, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Triticum dicoccoides, 119269306, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Triticum dicoccoides, 119329807, caffeoyl-CoA O-methyltransferase 1-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Triticum dicoccoides, 119297496, tricin synthase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Triticum dicoccoides, 119334278, tricin synthase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Triticum dicoccoides, 119337423, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Triticum dicoccoides, 119305741, tricin synthase 2-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
