Cucurbita pepo subsp. pepo, 111777486, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita pepo subsp. pepo, 111789378, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Cucurbita pepo subsp. pepo, 111794555, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Cucurbita pepo subsp. pepo, 111782711, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Cucurbita pepo subsp. pepo, 111801666, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Cucurbita pepo subsp. pepo, 111804116, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Cucurbita pepo subsp. pepo, 111800223, 1-Cys peroxiredoxin A  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Cucurbita pepo subsp. pepo, 111785670, peroxidase 64-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111778473, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111789030, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111781621, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111781753, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111787915, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111788234, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111788235, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111783258, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111778677, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111778796, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111782133, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111783550, peroxidase 41-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111779185, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111779278, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111777139, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111786519, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111786522, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111780134, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111780201, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111776269, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111776411, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111777586, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111777587, cationic peroxidase 1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111780581, peroxidase 25 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111776705, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111777520, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111777641, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111777665, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111777676, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111777736, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111777737, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111798863, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111802160, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111806668, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111803951, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111795083, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111792298, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111810614, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111805218, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111796160, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111802049, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111802082, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111803304, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111803125, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111803127, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111807754, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111807755, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111811905, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111797430, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111801985, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111803218, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111790132, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111794587, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111795563, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111792934, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111796111, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111799694, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111808748, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111790330, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111794712, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111794763, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111794764, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111793153, peroxidase 63-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111802417, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111803670, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111805865, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111809148, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111795617, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111802295, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111792616, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111794788, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111794793, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111811341, peroxidase 20 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111811345, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111807106, peroxidase 11-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111792699, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111792707, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111793658, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111794844, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111792766, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111792767, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111792768, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111811099, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111799110, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111801336, peroxidase 11-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111795436, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111811363, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111792838, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111793760, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111801644, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111777089, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita pepo subsp. pepo, 111781847, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Cucurbita pepo subsp. pepo, 111803959, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Cucurbita pepo subsp. pepo, 111808487, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Cucurbita pepo subsp. pepo, 111809680, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Cucurbita pepo subsp. pepo, 111780268, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cucurbita pepo subsp. pepo, 111785804, putative beta-glucosidase 41 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Cucurbita pepo subsp. pepo, 111788730, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Cucurbita pepo subsp. pepo, 111793343, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cucurbita pepo subsp. pepo, 111798011, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cucurbita pepo subsp. pepo, 111805307, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Cucurbita pepo subsp. pepo, 111783079, uncharacterized protein LOC111783079  [EC], ['EC:3.2.1.21'], KO:K05349
Cucurbita pepo subsp. pepo, 111779796, uncharacterized protein LOC111779796  [EC], ['EC:3.2.1.21'], KO:K05349
Cucurbita pepo subsp. pepo, 111777028, uncharacterized protein LOC111777028  [EC], ['EC:3.2.1.21'], KO:K05349
Cucurbita pepo subsp. pepo, 111800651, uncharacterized protein LOC111800651  [EC], ['EC:3.2.1.21'], KO:K05349
Cucurbita pepo subsp. pepo, 111800655, uncharacterized protein LOC111800655  [EC], ['EC:3.2.1.21'], KO:K05349
Cucurbita pepo subsp. pepo, 111801784, uncharacterized protein LOC111801784 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Cucurbita pepo subsp. pepo, 111793059, uncharacterized protein LOC111793059  [EC], ['EC:3.2.1.21'], KO:K05349
Cucurbita pepo subsp. pepo, 111790322, uncharacterized protein LOC111790322  [EC], ['EC:3.2.1.21'], KO:K05349
Cucurbita pepo subsp. pepo, 111783008, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cucurbita pepo subsp. pepo, 111791808, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cucurbita pepo subsp. pepo, 111809858, beta-glucosidase 44-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Cucurbita pepo subsp. pepo, 111802482, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cucurbita pepo subsp. pepo, 111796613, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Cucurbita pepo subsp. pepo, 111811269, scopoletin glucosyltransferase-like isoform X1  [EC], ['EC:2.4.1.128'], KO:K23260
Cucurbita pepo subsp. pepo, 111811270, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Cucurbita pepo subsp. pepo, 111811271, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Cucurbita pepo subsp. pepo, 111811287, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Cucurbita pepo subsp. pepo, 111797245, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
