Ipomoea nil, 109187876, phenylalanine ammonia-lyase G4-like  [EC], ['EC:4.3.1.24'], KO:K10775
Ipomoea nil, 109152226, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109162686, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109176727, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109176730, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109176761, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109187420, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109152318, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109152319, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109152320, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109155017, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109155056, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109166957, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109166961, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109150715, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109179667, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109155300, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109167144, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109173156, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109181086, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109155697, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109156081, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109156082, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109190503, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109159148, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Ipomoea nil, 109164018, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Ipomoea nil, 109189036, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Ipomoea nil, 109179685, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Ipomoea nil, 109152698, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Ipomoea nil, 109186987, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Ipomoea nil, 109168572, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Ipomoea nil, 109182572, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Ipomoea nil, 109177877, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Ipomoea nil, 109161153, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Ipomoea nil, 109148100, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Ipomoea nil, 109172722, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea nil, 109193122, In04; probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea nil, 109193141, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea nil, 109162046, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea nil, 109177856, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea nil, 109189033, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea nil, 109177504, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea nil, 109164697, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Ipomoea nil, 109164749, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Ipomoea nil, 109191772, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Ipomoea nil, 109162983, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Ipomoea nil, 109147675, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Ipomoea nil, 109148250, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Ipomoea nil, 109176903, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Ipomoea nil, 109186419, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Ipomoea nil, 109167744, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Ipomoea nil, 109172706, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Ipomoea nil, 109167743, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Ipomoea nil, 109194027, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ipomoea nil, 109165820, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ipomoea nil, 109165828, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ipomoea nil, 109150685, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ipomoea nil, 109169365, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ipomoea nil, 109169372, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ipomoea nil, 109169378, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ipomoea nil, 109169387, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Ipomoea nil, 109165174, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Ipomoea nil, 109192734, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Ipomoea nil, 109147298, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Ipomoea nil, 109179955, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Ipomoea nil, 109192735, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Ipomoea nil, 109172550, probable mannitol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Ipomoea nil, 109156896, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Ipomoea nil, 109164565, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Ipomoea nil, 109164566, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Ipomoea nil, 109183472, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Ipomoea nil, 109155723, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Ipomoea nil, 109181389, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Ipomoea nil, 109164790, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Ipomoea nil, 109165522, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Ipomoea nil, 109165523, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Ipomoea nil, 109165524, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Ipomoea nil, 109163541, probable 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Ipomoea nil, 109171514, probable 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Ipomoea nil, 109172807, 1-Cys peroxiredoxin A-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Ipomoea nil, 109187601, 1-Cys peroxiredoxin A  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Ipomoea nil, 109177595, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109177612, peroxidase 49-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109177969, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109164675, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109165825, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109189526, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109151409, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109165456, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109159327, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109167262, neutral peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109167585, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109164069, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109171864, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109182243, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109182244, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109182245, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109182246, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109182247, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109164766, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109171949, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109175870, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109175032, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109188573, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109189009, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109182362, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109182363, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109182364, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109186574, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109189599, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109189600, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109148742, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109162759, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109162769, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109165501, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109154050, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109154051, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109154053, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109154054, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109154056, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109154057, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109154058, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109154059, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109158223, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109164820, neutral peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109167288, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109175522, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109184706, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109149310, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109156394, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109182490, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109182491, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109189089, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109146978, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109146981, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109177768, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109179144, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109185751, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109185780, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109188233, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109188234, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109160854, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109193773, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109148852, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109183491, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109186287, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109147885, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109150710, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109152497, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109167040, neutral peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109181359, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109181368, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109177807, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109179158, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109179186, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109179187, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109179191, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109185829, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109185830, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109163395, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109163425, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109163429, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109166181, peroxidase 6-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109192506, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109149069, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109149070, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109149071, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109180929, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109183553, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109183554, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109183555, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109191688, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109146585, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109146637, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109159194, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109159195, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109159196, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109160516, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109160536, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109164612, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109176115, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109180538, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109185889, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109185917, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109148628, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109148630, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109192642, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109149153, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109181003, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109181028, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109181029, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109165364, anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109165365, anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109165366, anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109165367, anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109165368, neutral peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109172656, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109150841, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Ipomoea nil, 109151132, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Ipomoea nil, 109151067, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Ipomoea nil, 109151384, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Ipomoea nil, 109151205, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Ipomoea nil, 109151207, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Ipomoea nil, 109151208, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Ipomoea nil, 109191292, beta-glucosidase 10-like  [EC], ['EC:3.2.1.21'], KO:K01188
Ipomoea nil, 109161702, beta-glucosidase 6-like  [EC], ['EC:3.2.1.21'], KO:K01188
Ipomoea nil, 109162115, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Ipomoea nil, 109162116, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Ipomoea nil, 109162117, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Ipomoea nil, 109188042, putative beta-glucosidase 41  [EC], ['EC:3.2.1.21'], KO:K01188
Ipomoea nil, 109161886, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Ipomoea nil, 109181906, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Ipomoea nil, 109159477, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Ipomoea nil, 109192820, probable beta-glucosidase F  [EC], ['EC:3.2.1.21'], KO:K05349
Ipomoea nil, 109191619, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Ipomoea nil, 109191638, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Ipomoea nil, 109191641, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Ipomoea nil, 109173850, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Ipomoea nil, 109181662, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
