Camelina sativa, 104761517, phenylalanine ammonia-lyase 4  [EC], ['EC:4.3.1.24'], KO:K10775
Camelina sativa, 104752432, cinnamoyl-CoA reductase 2  [EC], ['EC:1.2.1.44'], KO:K09753
Camelina sativa, 104740281, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Camelina sativa, 104703349, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Camelina sativa, 104714287, cinnamoyl-CoA reductase 2 isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Camelina sativa, 104774803, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Camelina sativa, 104755910, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Camelina sativa, 104746994, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Camelina sativa, 104767838, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Camelina sativa, 104719913, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Camelina sativa, 104708687, cytochrome P450 84A4  [EC], ['EC:1.14.-.-'], KO:K09755
Camelina sativa, 104716504, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Camelina sativa, 104721146, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Camelina sativa, 104729559, cytochrome P450 84A1 isoform X2  [EC], ['EC:1.14.-.-'], KO:K09755
Camelina sativa, 104737831, cytochrome P450 84A4-like  [EC], ['EC:1.14.-.-'], KO:K09755
Camelina sativa, 104768622, cytochrome P450 84A4-like  [EC], ['EC:1.14.-.-'], KO:K09755
Camelina sativa, 104727479, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Camelina sativa, 104733074, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Camelina sativa, 104761441, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Camelina sativa, 104730586, flavone 3'-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Camelina sativa, 104717445, flavone 3'-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Camelina sativa, 104722135, flavone 3'-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Camelina sativa, 104729294, flavone 3'-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Camelina sativa, 104703789, flavone 3'-O-methyltransferase 1-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Camelina sativa, 104725937, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Camelina sativa, 104730602, flavone 3'-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Camelina sativa, 104752845, flavone 3'-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Camelina sativa, 104729364, cinnamyl alcohol dehydrogenase 7  [EC], ['EC:1.1.1.195'], KO:K00083
Camelina sativa, 104716322, cinnamyl alcohol dehydrogenase 8 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Camelina sativa, 104729808, cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Camelina sativa, 104712874, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Camelina sativa, 104713624, cinnamyl alcohol dehydrogenase 3-like  [EC], ['EC:1.1.1.195'], KO:K00083
Camelina sativa, 104746333, cinnamyl alcohol dehydrogenase 4  [EC], ['EC:1.1.1.195'], KO:K00083
Camelina sativa, 104701952, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Camelina sativa, 104702718, cinnamyl alcohol dehydrogenase 2 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Camelina sativa, 104716210, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Camelina sativa, 104716721, cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Camelina sativa, 104720853, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Camelina sativa, 104721382, cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Camelina sativa, 104729246, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Camelina sativa, 104751118, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Camelina sativa, 104751826, cinnamyl alcohol dehydrogenase 3 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Camelina sativa, 104765812, cinnamyl alcohol dehydrogenase 4-like  [EC], ['EC:1.1.1.195'], KO:K00083
Camelina sativa, 104784426, cinnamyl alcohol dehydrogenase 4-like  [EC], ['EC:1.1.1.195'], KO:K00083
Camelina sativa, 104729365, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Camelina sativa, 104792237, berberine bridge enzyme-like 4  [EC], ['EC:1.1.1.195'], KO:K22395
Camelina sativa, 104741683, berberine bridge enzyme-like 4  [EC], ['EC:1.1.1.195'], KO:K22395
Camelina sativa, 104786077, berberine bridge enzyme-like 4  [EC], ['EC:1.1.1.195'], KO:K22395
Camelina sativa, 104777109, berberine bridge enzyme-like 4  [EC], ['EC:1.1.1.195'], KO:K22395
Camelina sativa, 104781878, berberine bridge enzyme-like 4  [EC], ['EC:1.1.1.195'], KO:K22395
Camelina sativa, 109132537, berberine bridge enzyme-like 4  [EC], ['EC:1.1.1.195'], KO:K22395
Camelina sativa, 104757468, berberine bridge enzyme-like 4  [EC], ['EC:1.1.1.195'], KO:K22395
Camelina sativa, 104758108, 1-Cys peroxiredoxin PER1-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Camelina sativa, 109124606, 1-Cys peroxiredoxin PER1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Camelina sativa, 104777724, 1-Cys peroxiredoxin PER1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Camelina sativa, 104758261, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104767116, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104767170, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104761193, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104761938, peroxidase 67-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104762560, peroxidase 69  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104762562, peroxidase 71  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104762812, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104762937, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104763115, peroxidase 2-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104763125, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104763131, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104763840, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104763994, peroxidase 28-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104765551, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104782358, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104792638, peroxidase 22  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104792639, peroxidase C3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104733193, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104768732, peroxidase 52-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104780061, peroxidase 31-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104792498, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104792719, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104772445, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104770096, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104771332, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104782276, peroxidase C3  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104782277, peroxidase 22  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104785007, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104786156, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104785235, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104790467, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104736248, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104791139, peroxidase 34-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104760198, peroxidase 65  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104766079, peroxidase 30-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104757975, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 109132682, peroxidase 33-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104768875, peroxidase 53  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104768877, peroxidase 54  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104781867, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104734537, peroxidase 52  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104741103, peroxidase 6  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104754669, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104706324, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104724673, peroxidase 65  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104742195, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104716767, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104716819, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104724376, peroxidase 63-like isoform X3  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104740124, peroxidase 4 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104740125, peroxidase 5-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104751006, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104773027, peroxidase 32  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104771970, peroxidase 65  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104780735, peroxidase 34  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104780736, peroxidase 34-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104781941, peroxidase 20-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104708582, peroxidase 52  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104711414, peroxidase 33  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104711415, peroxidase 34-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104716491, peroxidase 49  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104726802, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104752127, peroxidase 18  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104706704, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104782636, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104782135, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104711416, peroxidase 34-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104749627, peroxidase 37-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104717652, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104717653, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104717658, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104720039, peroxidase 37-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104710834, peroxidase 32  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104721010, peroxidase 50  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104790611, peroxidase 32  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104789406, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104783999, peroxidase 36-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104727403, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104730303, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104736902, peroxidase 37  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104736903, peroxidase 37-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104749455, peroxidase 19-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104723495, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104732413, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104770365, peroxidase 59  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104777596, peroxidase 9 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104769643, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104770779, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104780824, peroxidase 35-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104735431, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104756784, peroxidase 6-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104706079, peroxidase 57-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104707429, peroxidase 39-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104719164, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104725697, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104739058, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104739059, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104751880, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104789236, peroxidase 28-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104793058, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104791140, peroxidase 34  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104791141, peroxidase 33  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104792294, peroxidase 20-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104746049, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104747648, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104705794, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104711524, peroxidase 35-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104712733, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104721661, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104722844, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104736057, LOW QUALITY PROTEIN: peroxidase 58-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104736058, peroxidase 59-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104744706, peroxidase 73-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104753509, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104759078, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104754668, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104718565, LOW QUALITY PROTEIN: peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104729542, peroxidase 49-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camelina sativa, 104731792, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
