Nicotiana tabacum, 107801774, chalcone synthase 1B-like  [EC], ['EC:2.3.1.74'], KO:K00660
Nicotiana tabacum, 107807494, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107761506, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107761507, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107762886, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107763925, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107826939, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107806485, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107806486, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107822260, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107806578, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107807845, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107809853, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107816321, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107772942, hqt; shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107827383, acyl3a; acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107827166, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107826138, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107826141, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107768690, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana tabacum, 107767804, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana tabacum, 107771987, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana tabacum, 107797681, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana tabacum, 107824233, CYP98A33v1; cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana tabacum, 107792896, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana tabacum, 107800961, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana tabacum, 107803600, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana tabacum, 107770611, CCOAOMT5; caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tabacum, 107772621, caffeoyl-CoA O-methyltransferase 6-like  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tabacum, 107779684, caffeoyl-CoA O-methyltransferase 3-like  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tabacum, 107785450, CCOAOMT1; caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tabacum, 107785451, CCOAOMT4; caffeoyl-CoA O-methyltransferase 4  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tabacum, 107789328, CCOAOMT3; caffeoyl-CoA O-methyltransferase 3  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tabacum, 107789329, CCOAOMT2; caffeoyl-CoA O-methyltransferase 2  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tabacum, 107792528, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tabacum, 107793671, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tabacum, 107795104, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tabacum, 107797097, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tabacum, 107799225, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tabacum, 107810774, CCOAOMT6; caffeoyl-CoA O-methyltransferase 6  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tabacum, 107815492, caffeoyl-CoA O-methyltransferase 6-like  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tabacum, 107826706, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tabacum, 107832128, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
