Salvia splendens, 121799715, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Salvia splendens, 121791474, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121804418, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121749716, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121750363, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121778683, fatty alcohol:caffeoyl-CoA acyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121778807, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121793705, fatty alcohol:caffeoyl-CoA acyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121793874, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121806643, rosmarinate synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121780655, fatty alcohol:caffeoyl-CoA acyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121741097, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121741381, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121741702, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121741707, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121766438, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121780908, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121780995, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121781774, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121753322, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121767881, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121768002, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121809169, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121809173, rosmarinate synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121754973, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121782671, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121797017, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121809492, rosmarinate synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121809683, rosmarinate synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121747388, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Salvia splendens, 121747439, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Salvia splendens, 121804071, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Salvia splendens, 121805425, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Salvia splendens, 121805775, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Salvia splendens, 121751565, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Salvia splendens, 121806378, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Salvia splendens, 121753302, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Salvia splendens, 121808561, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Salvia splendens, 121756814, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Salvia splendens, 121802519, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Salvia splendens, 121802943, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Salvia splendens, 121805966, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Salvia splendens, 121807028, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Salvia splendens, 121741086, caffeoyl-CoA O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Salvia splendens, 121753554, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Salvia splendens, 121802564, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Salvia splendens, 121809514, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
