Benincasa hispida, 120071314, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Benincasa hispida, 120080196, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Benincasa hispida, 120082231, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Benincasa hispida, 120071003, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Benincasa hispida, 120083539, LOW QUALITY PROTEIN: stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Benincasa hispida, 120086649, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Benincasa hispida, 120076424, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Benincasa hispida, 120076478, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Benincasa hispida, 120091747, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Benincasa hispida, 120067112, LOW QUALITY PROTEIN: caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Benincasa hispida, 120079903, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Benincasa hispida, 120091171, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Benincasa hispida, 120092517, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Benincasa hispida, 120080859, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Benincasa hispida, 120083215, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Benincasa hispida, 120081254, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Benincasa hispida, 120081836, caffeoyl-CoA O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Benincasa hispida, 120077526, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Benincasa hispida, 120091358, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Benincasa hispida, 120091417, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Benincasa hispida, 120086819, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Benincasa hispida, 120089690, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Benincasa hispida, 120089691, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Benincasa hispida, 120071508, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Benincasa hispida, 120078529, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Benincasa hispida, 120074482, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Benincasa hispida, 120090274, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Benincasa hispida, 120090551, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Benincasa hispida, 120091798, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Benincasa hispida, 120069086, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Benincasa hispida, 120089696, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Benincasa hispida, 120078707, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Benincasa hispida, 120068591, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Benincasa hispida, 120070015, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Benincasa hispida, 120087207, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Benincasa hispida, 120087808, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Benincasa hispida, 120089263, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Benincasa hispida, 120082698, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Benincasa hispida, 120073918, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Benincasa hispida, 120069609, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Benincasa hispida, 120078459, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120078614, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120078704, peroxidase 39-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120079044, LOW QUALITY PROTEIN: peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120090461, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120067101, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120091308, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120067870, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120092078, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120068301, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120068580, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120081121, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120092970, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120069282, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120069284, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120081818, peroxidase 11 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120082048, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120070034, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120070184, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120082395, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120082549, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120083102, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120071797, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120083601, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120083624, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120083832, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120072007, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120072008, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120072540, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120072717, peroxidase 10 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120084544, LOW QUALITY PROTEIN: peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120084578, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120084580, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120072905, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120072914, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120072928, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120085328, peroxidase 18  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120085380, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120074223, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120074266, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120087151, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120087220, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120087269, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120087275, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120087579, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120087856, peroxidase 39-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120075944, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120076232, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120076346, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120076495, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120076527, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120088325, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120088546, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120076697, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120077467, peroxidase N1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120077578, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120088559, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120088602, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120088645, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120088651, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120088665, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120088670, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120088737, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120088822, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120088879, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120089207, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120089289, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120089309, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120078144, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120078255, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120089510, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Benincasa hispida, 120072307, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Benincasa hispida, 120074156, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Benincasa hispida, 120074712, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
