Camellia sinensis, 114308066, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Camellia sinensis, 114309748, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114310077, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114310100, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114310420, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114312357, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114312601, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114312782, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114313054, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114315272, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114315274, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114315515, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114316100, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114316753, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114316754, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114316921, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114317442, peroxidase P7-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114318050, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114318212, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114318213, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114318484, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114318718, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114318719, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114319239, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114319656, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114319657, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114320370, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114280051, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114301058, peroxidase 28-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114301193, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114301306, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114301386, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114260459, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114281235, peroxidase 21 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114261609, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114262260, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114262261, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114262263, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114262270, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114282326, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114282676, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114263231, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114284786, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114305112, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114305603, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114305604, peroxidase 12-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114305605, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114305606, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114305607, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114264567, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114265084, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114286782, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114286783, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114286785, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114266627, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114266633, LOW QUALITY PROTEIN: peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114266646, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114266648, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114266977, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114267042, peroxidase 73-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114268190, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114290073, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114290111, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114290716, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114270444, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114270690, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114291213, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114271792, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114271858, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114271859, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114271861, peroxidase 44-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114271900, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114271930, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114292633, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114292643, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114272408, peroxidase 12-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114294658, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114273478, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114255969, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114256137, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114274880, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114297051, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114297580, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114297627, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114297632, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114256683, peroxidase 18-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114276387, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114276592, peroxidase 63-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114277322, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114277407, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114299094, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114257999, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114258433, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114299915, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114259057, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114259628, peroxidase 5-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114278651, peroxidase 59  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114278652, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114278653, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114281191, LOW QUALITY PROTEIN: anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Camellia sinensis, 114281192, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Camellia sinensis, 114281193, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Camellia sinensis, 114288708, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
