Vitis riparia, 117933071, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis riparia, 117923246, flavonoid 3',5'-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Vitis riparia, 117924540, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Vitis riparia, 117924623, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Vitis riparia, 117924816, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Vitis riparia, 117924905, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Vitis riparia, 117927091, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Vitis riparia, 117917531, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Vitis riparia, 117922518, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Vitis riparia, 117910848, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Vitis riparia, 117910878, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Vitis riparia, 117912502, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Vitis riparia, 117934093, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vitis riparia, 117934121, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vitis riparia, 117928551, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vitis riparia, 117905577, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vitis riparia, 117905995, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vitis riparia, 117906164, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vitis riparia, 117931761, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vitis riparia, 117931763, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vitis riparia, 117931793, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vitis riparia, 117932682, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vitis riparia, 117932824, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vitis riparia, 117911725, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Vitis riparia, 117911985, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Vitis riparia, 117911986, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Vitis riparia, 117917333, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Vitis riparia, 117906110, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Vitis riparia, 117906327, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Vitis riparia, 117918941, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Vitis riparia, 117918989, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Vitis riparia, 117931193, probable cinnamyl alcohol dehydrogenase 1 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Vitis riparia, 117931206, LOW QUALITY PROTEIN: probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Vitis riparia, 117922916, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Vitis riparia, 117915014, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Vitis riparia, 117920689, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117920960, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117910721, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117910722, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117910863, peroxidase 10-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117910946, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117921873, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117933888, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117933970, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117911776, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117922461, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117922644, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117922739, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117922741, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117912308, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117912395, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117912402, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117923125, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117923477, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117923483, putative Peroxidase 48 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117923611, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117912999, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117924052, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117924193, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117913438, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117913649, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117913803, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117924887, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117914314, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117925214, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117925656, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117914937, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117914962, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117925949, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117926160, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117926303, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117926318, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117926344, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117926356, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117926414, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117926416, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117926515, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117915655, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117915720, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117915793, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117927039, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117927102, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117927195, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117903917, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117903918, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117904338, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117916446, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117916447, LOW QUALITY PROTEIN: peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117904978, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117916579, peroxidase N-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117916602, peroxidase N-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117916719, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117916781, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117916794, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117917260, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117928563, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117905432, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117917600, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117917858, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117906690, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117918199, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117918323, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117918591, peroxidase 73  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117907028, cationic peroxidase 1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117907030, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117907231, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117907268, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117918887, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117930822, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117931110, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117931237, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117931294, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117907809, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117919810, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117919856, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117919953, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117919983, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117931369, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117908714, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117932624, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Vitis riparia, 117933133, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Vitis riparia, 117911727, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Vitis riparia, 117912045, anthocyanidin 3-O-glucosyltransferase 5-like isoform X1  [EC], ['EC:2.4.1.111'], KO:K12356
Vitis riparia, 117912376, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Vitis riparia, 117912400, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
