Cicer arietinum, 101489106, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Cicer arietinum, 101507543, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Cicer arietinum, 101510693, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Cicer arietinum, 101492767, dihydroflavonol-4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Cicer arietinum, 101491984, dihydroflavonol-4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Cicer arietinum, 101503703, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Cicer arietinum, 101511289, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Cicer arietinum, 101494604, anthocyanidin reductase  [EC], ['EC:1.3.1.77'], KO:K08695
Cicer arietinum, 101493305, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Cicer arietinum, 101490930, UGT88F9; anthocyanidin 5,3-O-glucosyltransferase  [EC], ['EC:2.4.1.357'], KO:K22845
Cicer arietinum, 101511986, anthocyanidin 5,3-O-glucosyltransferase-like  [EC], ['EC:2.4.1.357'], KO:K22845
Cicer arietinum, 101510481, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cicer arietinum, 101491248, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cicer arietinum, 105852211, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Cicer arietinum, 101502383, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cicer arietinum, 101501844, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cicer arietinum, 101504101, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cicer arietinum, 101502444, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cicer arietinum, 101496291, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cicer arietinum, 101513669, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cicer arietinum, 101513347, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cicer arietinum, 101502624, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Cicer arietinum, 101497099, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Cicer arietinum, 101508155, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Cicer arietinum, 101511458, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Cicer arietinum, 101500474, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
