Mangifera indica, 123203564, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Mangifera indica, 123228680, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Mangifera indica, 123225242, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Mangifera indica, 123225291, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Mangifera indica, 123201698, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Mangifera indica, 123226250, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Mangifera indica, 123205864, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Mangifera indica, 123205865, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Mangifera indica, 123205875, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Mangifera indica, 123205879, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Mangifera indica, 123196758, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Mangifera indica, 123209637, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Mangifera indica, 123204061, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Mangifera indica, 123211400, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Mangifera indica, 123219441, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Mangifera indica, 123219660, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Mangifera indica, 123213776, leucoanthocyanidin reductase-like isoform X1  [EC], ['EC:1.17.1.3'], KO:K13081
Mangifera indica, 123215765, leucoanthocyanidin reductase-like isoform X1  [EC], ['EC:1.17.1.3'], KO:K13081
Mangifera indica, 123206133, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Mangifera indica, 123218117, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Mangifera indica, 123195221, LOW QUALITY PROTEIN: spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Mangifera indica, 123195655, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Mangifera indica, 123208284, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Mangifera indica, 123220489, fatty alcohol:caffeoyl-CoA acyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Mangifera indica, 123220885, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Mangifera indica, 123210797, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Mangifera indica, 123221796, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Mangifera indica, 123211239, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Mangifera indica, 123211777, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Mangifera indica, 123212333, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Mangifera indica, 123211020, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Mangifera indica, 123211225, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Mangifera indica, 123224750, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Mangifera indica, 123200959, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Mangifera indica, 123227387, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Mangifera indica, 123206883, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Mangifera indica, 123206885, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Mangifera indica, 123200018, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Mangifera indica, 123212834, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
