Macadamia integrifolia, 122061512, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Macadamia integrifolia, 122075864, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Macadamia integrifolia, 122088438, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Macadamia integrifolia, 122088785, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Macadamia integrifolia, 122089840, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Macadamia integrifolia, 122062536, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Macadamia integrifolia, 122064376, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Macadamia integrifolia, 122074662, caffeoyl-CoA O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Macadamia integrifolia, 122063370, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Macadamia integrifolia, 122091216, cinnamoyl-CoA reductase 1-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Macadamia integrifolia, 122092737, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Macadamia integrifolia, 122092787, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Macadamia integrifolia, 122082290, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Macadamia integrifolia, 122085760, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Macadamia integrifolia, 122087711, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Macadamia integrifolia, 122062397, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Macadamia integrifolia, 122065211, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Macadamia integrifolia, 122079014, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Macadamia integrifolia, 122080398, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Macadamia integrifolia, 122083527, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Macadamia integrifolia, 122088518, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122061057, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122061385, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122089414, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122061940, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122062008, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122090996, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122091141, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122080840, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122067123, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122081123, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122069568, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122070346, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122084343, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122084344, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122084345, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122084682, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122084701, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122084795, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122084796, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122084797, scoulerine-9-O-methyltransferase 2-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122084798, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122084988, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122085017, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122057048, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122073509, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122086214, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122057467, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122074748, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Macadamia integrifolia, 122078387, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Macadamia integrifolia, 122081050, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Macadamia integrifolia, 122057307, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Macadamia integrifolia, 122085799, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Macadamia integrifolia, 122074698, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Macadamia integrifolia, 122057299, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Macadamia integrifolia, 122075537, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122088272, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122088357, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122060699, uncharacterized protein LOC122060699  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122060700, peroxidase 28-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122060702, peroxidase 28-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122060834, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122061089, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122061113, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122061145, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122061152, uncharacterized protein LOC122061152  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122061299, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122061458, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122061551, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122088853, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122089395, peroxidase 29-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122076961, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122089880, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122089881, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122089891, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122089994, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122090054, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122090127, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122090155, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122090448, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122077971, peroxidase 28-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122077972, peroxidase 28-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122077973, peroxidase 28-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122091278, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122063458, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122063702, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122079326, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122091653, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122064756, peroxidase 63-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122064834, peroxidase 19-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122092042, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122092103, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122092383, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122066758, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122080856, peroxidase 28-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122067587, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122067873, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122081188, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122093855, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122094208, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122094301, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122068497, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122068498, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122068717, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122082121, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122082122, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122069441, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122069774, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122082623, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122083064, peroxidase 50-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122070187, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122070188, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122070724, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122070736, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122070739, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122083380, peroxidase 5-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122071131, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122071407, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122071709, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122071719, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122071721, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122071983, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122072106, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122072294, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122072725, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122084777, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122085062, peroxidase 10-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122072806, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122073027, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122073130, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122073309, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122073500, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122073502, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122057870, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122058575, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122058842, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122074603, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122087566, peroxidase 19-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122087633, peroxidase 20-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122087889, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122058903, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122059098, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Macadamia integrifolia, 122088980, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Macadamia integrifolia, 122061781, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Macadamia integrifolia, 122070723, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Macadamia integrifolia, 122058591, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
