Capsicum annuum, 107864266, chalcone synthase 1B  [EC], ['EC:2.3.1.74'], KO:K00660
Capsicum annuum, 107866341, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Capsicum annuum, 107851983, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107853210, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107861362, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107871738, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107877086, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107877492, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107872217, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107865823, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107873863, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107875625, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107876003, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107877588, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107879437, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107879899, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107848376, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107849861, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107862050, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107840863, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107842304, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107848842, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107851467, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107840069, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107846800, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107851795, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107846882, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107848097, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107850816, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107844023, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Capsicum annuum, 107844024, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Capsicum annuum, 107839366, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Capsicum annuum, 107840262, caffeoyl-CoA O-methyltransferase 6  [EC], ['EC:2.1.1.104'], KO:K00588
Capsicum annuum, 107853336, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Capsicum annuum, 107869814, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Capsicum annuum, 107860278, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Capsicum annuum, 107860279, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Capsicum annuum, 107868226, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Capsicum annuum, 107868228, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Capsicum annuum, 107868231, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
