Jatropha curcas, 105650921, phenylalanine ammonia-lyase G2B  [EC], ['EC:4.3.1.24'], KO:K10775
Jatropha curcas, 105635302, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Jatropha curcas, 105636594, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Jatropha curcas, 105645150, probable cinnamyl alcohol dehydrogenase 1 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Jatropha curcas, 105635659, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Jatropha curcas, 105637132, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Jatropha curcas, 105635658, LOW QUALITY PROTEIN: berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Jatropha curcas, 105630346, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Jatropha curcas, 105635488, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105635490, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105636990, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105635079, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105634215, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105634216, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105634232, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105634796, LOW QUALITY PROTEIN: peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105634798, DNA repair protein XRCC4  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105636468, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105635298, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105628424, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105630508, cationic peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105631036, LOW QUALITY PROTEIN: peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105633850, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105632488, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105632699, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105645388, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105645409, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105646556, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105639349, peroxidase 65  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105640809, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105650950, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105645860, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105645862, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105645863, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105645864, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105647025, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105648136, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105643684, peroxidase 40 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105650075, peroxidase 39  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105637428, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105642131, peroxidase 63  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105645866, lignin-forming anionic peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105647091, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105649336, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105649394, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105643928, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105648531, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105631024, LOW QUALITY PROTEIN: peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105649617, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105639366, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105640792, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105640658, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105629075, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105642197, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105648056, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105648057, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105648058, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105648060, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105649210, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105649212, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105642426, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105645234, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105641641, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 110008628, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 110008655, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105634612, LOW QUALITY PROTEIN: peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105634214, LOW QUALITY PROTEIN: lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105634628, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Jatropha curcas, 105639951, UDP-glycosyltransferase 72E1  [EC], ['EC:2.4.1.111'], KO:K12356
Jatropha curcas, 105639952, anthocyanidin 3-O-glucosyltransferase 5 isoform X1  [EC], ['EC:2.4.1.111'], KO:K12356
Jatropha curcas, 105642519, beta-glucosidase 11  [EC], ['EC:3.2.1.21'], KO:K01188
Jatropha curcas, 105628650, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Jatropha curcas, 105630530, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Jatropha curcas, 105632858, putative beta-glucosidase 41  [EC], ['EC:3.2.1.21'], KO:K01188
Jatropha curcas, 105629347, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Jatropha curcas, 105630729, periplasmic beta-glucosidase  [EC], ['EC:3.2.1.21'], KO:K05349
Jatropha curcas, 105632607, beta-glucosidase BoGH3B isoform X2  [EC], ['EC:3.2.1.21'], KO:K05349
Jatropha curcas, 105632608, beta-glucosidase BoGH3B isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Jatropha curcas, 105637423, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Jatropha curcas, 105630781, beta-glucosidase BoGH3B isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Jatropha curcas, 105629413, LOW QUALITY PROTEIN: beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Jatropha curcas, 105631046, beta-glucosidase 44 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Jatropha curcas, 105633314, beta-glucosidase 18  [EC], ['EC:3.2.1.21'], KO:K05350
Jatropha curcas, 105633315, LOW QUALITY PROTEIN: beta-glucosidase 18  [EC], ['EC:3.2.1.21'], KO:K05350
Jatropha curcas, 105649370, LOW QUALITY PROTEIN: beta-glucosidase 47-like  [EC], ['EC:3.2.1.21'], KO:K05350
Jatropha curcas, 105637198, feruloyl CoA ortho-hydroxylase F6H1-3  [EC], ['EC:1.14.11.61'], KO:K06892
Jatropha curcas, 105631595, feruloyl CoA ortho-hydroxylase F6H1-3  [EC], ['EC:1.14.11.61'], KO:K06892
Jatropha curcas, 105631596, LOW QUALITY PROTEIN: feruloyl CoA ortho-hydroxylase F6H1-3  [EC], ['EC:1.14.11.61'], KO:K06892
Jatropha curcas, 105631723, LOW QUALITY PROTEIN: feruloyl CoA ortho-hydroxylase F6H1-3  [EC], ['EC:1.14.11.61'], KO:K06892
Jatropha curcas, 105631594, LOW QUALITY PROTEIN: feruloyl CoA ortho-hydroxylase F6H1-3-like  [EC], ['EC:1.14.11.61'], KO:K06892
Jatropha curcas, 105646273, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Jatropha curcas, 105646274, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Jatropha curcas, 105646275, scopoletin glucosyltransferase isoform X1  [EC], ['EC:2.4.1.128'], KO:K23260
Jatropha curcas, 105646276, scopoletin glucosyltransferase isoform X1  [EC], ['EC:2.4.1.128'], KO:K23260
