Arachis duranensis, 107483331, putative stilbene synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107478904, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis duranensis, 107494459, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis duranensis, 107494461, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis duranensis, 107494473, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis duranensis, 107494576, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis duranensis, 107494128, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Arachis duranensis, 107469696, caffeoyl-CoA O-methyltransferase isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis duranensis, 107474667, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis duranensis, 107479787, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis duranensis, 107479796, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Arachis duranensis, 107490158, LOW QUALITY PROTEIN: probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
